# asym_center  count
-0.97500 16097
-0.92500 12055
-0.87500 15853
-0.82500 19443
-0.77500 18711
-0.72500 22286
-0.67500 23746
-0.62500 22155
-0.57500 26800
-0.52500 23639
-0.47500 28972
-0.42500 26668
-0.37500 28400
-0.32500 28951
-0.27500 27958
-0.22500 28328
-0.17500 31325
-0.12500 29618
-0.07500 30247
-0.02500 25295
0.02500 40508
0.07500 29240
0.12500 30441
0.17500 27651
0.22500 30485
0.27500 29859
0.32500 29840
0.37500 27266
0.42500 28824
0.47500 24789
0.52500 28925
0.57500 24185
0.62500 26980
0.67500 23847
0.72500 21862
0.77500 21619
0.82500 20416
0.87500 16779
0.92500 12728
0.97500 3981
