# Egamma_center_MeV  count  fraction_per_bin
0.0500 19654 9.953005e-02
0.1500 6 3.038467e-05
0.2500 432 2.187696e-03
0.3500 269 1.362246e-03
0.4500 760 3.848725e-03
0.5500 48614 2.461867e-01
0.6500 10234 5.182612e-02
0.7500 4863 2.462677e-02
0.8500 3857 1.953228e-02
0.9500 728 3.686673e-03
1.0500 115 5.823728e-04
1.1500 426 2.157312e-03
1.2500 4461 2.259100e-02
1.3500 6826 3.456763e-02
1.4500 2381 1.205765e-02
1.5500 977 4.947637e-03
1.6500 2653 1.343509e-02
1.7500 1001 5.069176e-03
1.8500 2188 1.108028e-02
1.9500 1434 7.261936e-03
2.0500 1748 8.852067e-03
2.1500 2274 1.151579e-02
2.2500 2380 1.205259e-02
2.3500 2532 1.282233e-02
2.4500 3528 1.786619e-02
2.5500 3076 1.557721e-02
2.6500 4003 2.027164e-02
2.7500 3260 1.650900e-02
2.8500 2548 1.290336e-02
2.9500 2866 1.451374e-02
3.0500 2648 1.340977e-02
3.1500 3047 1.543035e-02
3.2500 2763 1.399214e-02
3.3500 2492 1.261977e-02
3.4500 2447 1.239188e-02
3.5500 2181 1.104483e-02
3.6500 2187 1.107521e-02
3.7500 2033 1.029534e-02
3.8500 2015 1.020418e-02
3.9500 974 4.932445e-03
4.0500 951 4.815970e-03
4.1500 981 4.967894e-03
4.2500 955 4.836227e-03
4.3500 933 4.724816e-03
4.4500 896 4.537444e-03
4.5500 851 4.309559e-03
4.6500 920 4.658983e-03
4.7500 882 4.466546e-03
4.8500 908 4.598213e-03
4.9500 841 4.258918e-03
5.0500 890 4.507059e-03
5.1500 946 4.790650e-03
5.2500 757 3.833533e-03
5.3500 644 3.261288e-03
5.4500 679 3.438532e-03
5.5500 642 3.251160e-03
5.6500 599 3.033403e-03
5.7500 748 3.787956e-03
5.8500 1356 6.866935e-03
5.9500 828 4.193084e-03
6.0500 424 2.147183e-03
6.1500 375 1.899042e-03
6.2500 427 2.162376e-03
6.3500 271 1.372374e-03
6.4500 354 1.792696e-03
6.5500 370 1.873721e-03
6.6500 387 1.959811e-03
6.7500 144 7.292321e-04
6.8500 171 8.659631e-04
6.9500 60 3.038467e-04
7.0500 21 1.063463e-04
7.1500 25 1.266028e-04
7.2500 26 1.316669e-04
7.3500 9 4.557700e-05
7.4500 8 4.051289e-05
7.5500 10 5.064112e-05
7.6500 144 7.292321e-04
7.7500 79 4.000648e-04
7.8500 59 2.987826e-04
7.9500 3 1.519233e-05
8.0500 4 2.025645e-05
8.1500 1 5.064112e-06
8.2500 1 5.064112e-06
8.3500 1 5.064112e-06
8.4500 74 3.747443e-04
8.5500 1 5.064112e-06
8.6500 0 0.000000e+00
8.7500 0 0.000000e+00
8.8500 0 0.000000e+00
8.9500 0 0.000000e+00
9.0500 13931 7.054814e-02
9.1500 0 0.000000e+00
9.2500 0 0.000000e+00
9.3500 0 0.000000e+00
9.4500 0 0.000000e+00
