# Egamma_center_MeV  count  fraction_per_bin
0.0500 40242 1.190454e-01
0.1500 26210 7.753543e-02
0.2500 3365 9.954473e-03
0.3500 532 1.573783e-03
0.4500 489 1.446579e-03
0.5500 1404 4.153367e-03
0.6500 2993 8.854008e-03
0.7500 6311 1.866944e-02
0.8500 11907 3.522375e-02
0.9500 21915 6.482980e-02
1.0500 8711 2.576922e-02
1.1500 22914 6.778508e-02
1.2500 10147 3.001725e-02
1.3500 7624 2.255361e-02
1.4500 6126 1.812217e-02
1.5500 6678 1.975512e-02
1.6500 7689 2.274590e-02
1.7500 7781 2.301805e-02
1.8500 8201 2.426051e-02
1.9500 6877 2.034381e-02
2.0500 5468 1.617565e-02
2.1500 5508 1.629398e-02
2.2500 5523 1.633835e-02
2.3500 6274 1.855999e-02
2.4500 6234 1.844166e-02
2.5500 5859 1.733232e-02
2.6500 5862 1.734119e-02
2.7500 5164 1.527634e-02
2.8500 5066 1.498644e-02
2.9500 4235 1.252814e-02
3.0500 4279 1.265830e-02
3.1500 3551 1.050471e-02
3.2500 3607 1.067037e-02
3.3500 2979 8.812593e-03
3.4500 3143 9.297744e-03
3.5500 2793 8.262360e-03
3.6500 2751 8.138114e-03
3.7500 2549 7.540550e-03
3.8500 2146 6.348380e-03
3.9500 1272 3.762879e-03
4.0500 1346 3.981789e-03
4.1500 1091 3.227438e-03
4.2500 1105 3.268854e-03
4.3500 1109 3.280687e-03
4.4500 1002 2.964155e-03
4.5500 1058 3.129816e-03
4.6500 1020 3.017403e-03
4.7500 1057 3.126858e-03
4.8500 996 2.946406e-03
4.9500 1288 3.810211e-03
5.0500 1032 3.052902e-03
5.1500 1162 3.437473e-03
5.2500 899 2.659456e-03
5.3500 614 1.816358e-03
5.4500 651 1.925813e-03
5.5500 852 2.520419e-03
5.6500 885 2.618041e-03
5.7500 525 1.553075e-03
5.8500 325 9.614275e-04
5.9500 671 1.984978e-03
6.0500 371 1.097507e-03
6.1500 293 8.667639e-04
6.2500 175 5.176917e-04
6.3500 116 3.431557e-04
6.4500 248 7.336432e-04
6.5500 56 1.656614e-04
6.6500 120 3.549886e-04
6.7500 4792 1.417588e-02
6.8500 1 2.958239e-06
6.9500 34 1.005801e-04
7.0500 8 2.366591e-05
7.1500 3 8.874716e-06
7.2500 2 5.916477e-06
7.3500 1 2.958239e-06
7.4500 0 0.000000e+00
7.5500 0 0.000000e+00
7.6500 4 1.183295e-05
7.7500 1 2.958239e-06
7.8500 20747 6.137458e-02
7.9500 0 0.000000e+00
8.0500 0 0.000000e+00
8.1500 0 0.000000e+00
8.2500 0 0.000000e+00
8.3500 0 0.000000e+00
8.4500 0 0.000000e+00
8.5500 0 0.000000e+00
8.6500 0 0.000000e+00
8.7500 0 0.000000e+00
8.8500 0 0.000000e+00
8.9500 0 0.000000e+00
9.0500 0 0.000000e+00
9.1500 0 0.000000e+00
9.2500 0 0.000000e+00
9.3500 0 0.000000e+00
9.4500 0 0.000000e+00
