# lambda_center_nm  count
202.500 265790
207.500 250802
212.500 236511
217.500 223760
222.500 211089
227.500 200183
232.500 191796
237.500 182498
242.500 173603
247.500 166664
252.500 158058
257.500 152325
262.500 145520
267.500 139309
272.500 134286
277.500 129287
282.500 124592
287.500 119042
292.500 115236
297.500 110886
302.500 107139
307.500 103090
312.500 100171
317.500 97524
322.500 94220
327.500 91093
332.500 87835
337.500 85411
342.500 82085
347.500 80479
352.500 77505
357.500 75409
362.500 73446
367.500 71220
372.500 69486
377.500 67558
382.500 65524
387.500 64178
392.500 61824
397.500 60351
402.500 58579
407.500 57284
412.500 56679
417.500 54612
422.500 53158
427.500 52090
432.500 50772
437.500 49435
442.500 48843
447.500 47437
452.500 46683
457.500 45149
462.500 44647
467.500 43520
472.500 42498
477.500 41746
482.500 40924
487.500 40031
492.500 39056
497.500 37990
502.500 37833
507.500 36983
512.500 36164
517.500 35231
522.500 34611
527.500 34038
532.500 33278
537.500 32824
542.500 31737
547.500 31540
552.500 30722
557.500 30233
562.500 29686
567.500 29224
572.500 28592
577.500 27907
582.500 27812
587.500 27358
592.500 26819
597.500 26267
602.500 26319
607.500 25589
612.500 25194
617.500 24741
622.500 24271
627.500 23983
632.500 23748
637.500 23004
642.500 22668
647.500 22365
