# cos_theta_e_center  count
-0.98000 2184
-0.94000 2062
-0.90000 2133
-0.86000 2043
-0.82000 2120
-0.78000 2138
-0.74000 2152
-0.70000 2067
-0.66000 2136
-0.62000 2177
-0.58000 2059
-0.54000 2116
-0.50000 2057
-0.46000 2094
-0.42000 2052
-0.38000 2068
-0.34000 2020
-0.30000 2003
-0.26000 2075
-0.22000 2023
-0.18000 2047
-0.14000 2014
-0.10000 2026
-0.06000 1987
-0.02000 2004
0.02000 2011
0.06000 2059
0.10000 1994
0.14000 1971
0.18000 1959
0.22000 2001
0.26000 1949
0.30000 1928
0.34000 1956
0.38000 1894
0.42000 1970
0.46000 1932
0.50000 1921
0.54000 1920
0.58000 1933
0.62000 1856
0.66000 1850
0.70000 1909
0.74000 1892
0.78000 1842
0.82000 1900
0.86000 1856
0.90000 1885
0.94000 1880
0.98000 1875
