# cos_theta_n_center  count
-0.98000 0
-0.94000 0
-0.90000 0
-0.86000 0
-0.82000 0
-0.78000 0
-0.74000 0
-0.70000 0
-0.66000 0
-0.62000 0
-0.58000 0
-0.54000 0
-0.50000 0
-0.46000 0
-0.42000 0
-0.38000 0
-0.34000 0
-0.30000 0
-0.26000 0
-0.22000 0
-0.18000 0
-0.14000 0
-0.10000 0
-0.06000 0
-0.02000 0
0.02000 0
0.06000 0
0.10000 0
0.14000 0
0.18000 0
0.22000 0
0.26000 0
0.30000 0
0.34000 0
0.38000 0
0.42000 0
0.46000 0
0.50000 0
0.54000 336
0.58000 4270
0.62000 14319
0.66000 29385
0.70000 49765
0.74000 72717
0.78000 96439
0.82000 117047
0.86000 134094
0.90000 149408
0.94000 160315
0.98000 171905
