# lifetime_us_center count
1.000 1553
3.000 2250
5.000 2157
7.000 1874
9.000 1650
11.000 1626
13.000 1497
15.000 1476
17.000 1441
19.000 1440
21.000 1389
23.000 1316
25.000 1408
27.000 1304
29.000 1269
31.000 1356
33.000 1218
35.000 1217
37.000 1143
39.000 1199
41.000 1163
43.000 1108
45.000 1130
47.000 1081
49.000 1121
51.000 1113
53.000 1065
55.000 1027
57.000 1010
59.000 983
61.000 977
63.000 923
65.000 959
67.000 930
69.000 886
71.000 880
73.000 890
75.000 876
77.000 826
79.000 801
81.000 797
83.000 819
85.000 755
87.000 791
89.000 724
91.000 770
93.000 689
95.000 693
97.000 722
99.000 666
101.000 679
103.000 659
105.000 644
107.000 693
109.000 656
111.000 612
113.000 584
115.000 641
117.000 573
119.000 602
121.000 574
123.000 518
125.000 557
127.000 502
129.000 527
131.000 551
133.000 509
135.000 528
137.000 511
139.000 496
141.000 456
143.000 501
145.000 463
147.000 413
149.000 445
151.000 423
153.000 441
155.000 410
157.000 393
159.000 372
161.000 412
163.000 354
165.000 365
167.000 394
169.000 364
171.000 369
173.000 376
175.000 355
177.000 386
179.000 373
181.000 357
183.000 312
185.000 327
187.000 319
189.000 301
191.000 304
193.000 342
195.000 344
197.000 316
199.000 302
