# lifetime_us_center count
1.000 2060
3.000 4117
5.000 5291
7.000 5655
9.000 5601
11.000 5458
13.000 4929
15.000 4564
17.000 4334
19.000 3884
21.000 3704
23.000 3358
25.000 3158
27.000 2920
29.000 2713
31.000 2458
33.000 2229
35.000 2226
37.000 2015
39.000 1866
41.000 1760
43.000 1569
45.000 1440
47.000 1333
49.000 1225
51.000 1175
53.000 1060
55.000 1006
57.000 891
59.000 861
61.000 849
63.000 784
65.000 747
67.000 602
69.000 597
71.000 548
73.000 527
75.000 462
77.000 469
79.000 470
81.000 415
83.000 379
85.000 372
87.000 304
89.000 317
91.000 278
93.000 244
95.000 256
97.000 221
99.000 203
101.000 192
103.000 168
105.000 148
107.000 179
109.000 178
111.000 153
113.000 141
115.000 148
117.000 135
119.000 108
121.000 109
123.000 97
125.000 95
127.000 91
129.000 89
131.000 81
133.000 74
135.000 79
137.000 61
139.000 52
141.000 64
143.000 53
145.000 65
147.000 48
149.000 52
151.000 53
153.000 45
155.000 44
157.000 56
159.000 33
161.000 31
163.000 46
165.000 40
167.000 33
169.000 33
171.000 29
173.000 30
175.000 26
177.000 26
179.000 21
181.000 26
183.000 27
185.000 29
187.000 18
189.000 19
191.000 21
193.000 18
195.000 20
197.000 19
199.000 25
