# Te_center_MeV  mean_N_fired  stderr_N_fired  count
0.05000 0 0 0
0.15000 0 0 0
0.25000 0 0 0
0.35000 0 0 0
0.45000 0 0 0
0.55000 0 0 0
0.65000 0 0 0
0.75000 0 0 0
0.85000 0 0 0
0.95000 0 0 0
1.05000 0 0 0
1.15000 0 0 0
1.25000 0 0 0
1.35000 0 0 0
1.45000 0 0 0
1.55000 0 0 0
1.65000 0 0 0
1.75000 0 0 0
1.85000 0 0 0
1.95000 0 0 0
2.05000 0 0 0
2.15000 15.000000 0.000000 1
2.25000 0 0 0
2.35000 0 0 0
2.45000 0 0 0
2.55000 0 0 0
2.65000 0 0 0
2.75000 0 0 0
2.85000 0 0 0
2.95000 0 0 0
3.05000 0 0 0
3.15000 0 0 0
3.25000 0 0 0
3.35000 0 0 0
3.45000 0 0 0
3.55000 0 0 0
3.65000 0 0 0
3.75000 0 0 0
3.85000 0 0 0
3.95000 0 0 0
4.05000 0 0 0
4.15000 0 0 0
4.25000 0 0 0
4.35000 0 0 0
4.45000 0 0 0
4.55000 0 0 0
4.65000 0 0 0
4.75000 0 0 0
4.85000 0 0 0
4.95000 0 0 0
5.05000 0 0 0
5.15000 0 0 0
5.25000 0 0 0
5.35000 0 0 0
5.45000 0 0 0
5.55000 0 0 0
5.65000 0 0 0
5.75000 0 0 0
5.85000 0 0 0
5.95000 0 0 0
6.05000 0 0 0
6.15000 0 0 0
6.25000 0 0 0
6.35000 0 0 0
6.45000 0 0 0
6.55000 0 0 0
6.65000 0 0 0
6.75000 0 0 0
6.85000 0 0 0
6.95000 0 0 0
7.05000 0 0 0
7.15000 0 0 0
7.25000 0 0 0
7.35000 0 0 0
7.45000 0 0 0
7.55000 0 0 0
7.65000 0 0 0
7.75000 0 0 0
7.85000 0 0 0
7.95000 0 0 0
8.05000 0 0 0
8.15000 0 0 0
8.25000 0 0 0
8.35000 0 0 0
8.45000 0 0 0
8.55000 0 0 0
8.65000 0 0 0
8.75000 0 0 0
8.85000 0 0 0
8.95000 0 0 0
