# Npe_center count
2.0 36903
6.0 11909
10.0 8181
14.0 5701
18.0 4371
22.0 3582
26.0 2953
30.0 2612
34.0 2159
38.0 1868
42.0 1703
46.0 1519
50.0 1365
54.0 1214
58.0 1117
62.0 986
66.0 896
70.0 871
74.0 729
78.0 628
82.0 635
86.0 573
90.0 529
94.0 482
98.0 453
102.0 406
106.0 371
110.0 363
114.0 416
118.0 199
122.0 263
126.0 256
130.0 219
134.0 223
138.0 195
142.0 176
146.0 192
150.0 132
154.0 143
158.0 146
162.0 133
166.0 129
170.0 123
174.0 103
178.0 92
182.0 125
186.0 109
190.0 108
194.0 97
198.0 96
