# Npe_center count
2.0 96152
6.0 39268
10.0 39925
14.0 39183
18.0 37324
22.0 35120
26.0 32579
30.0 30602
34.0 29141
38.0 27461
42.0 26328
46.0 25834
50.0 25141
54.0 24962
58.0 24314
62.0 23700
66.0 22716
70.0 22057
74.0 21400
78.0 20260
82.0 19196
86.0 18260
90.0 17148
94.0 15931
98.0 15000
102.0 13822
106.0 12754
110.0 11699
114.0 13340
118.0 7139
122.0 9149
126.0 8253
130.0 7532
134.0 7049
138.0 6688
142.0 6299
146.0 5716
150.0 5651
154.0 5455
158.0 5280
162.0 5172
166.0 5150
170.0 4962
174.0 5037
178.0 4834
182.0 4952
186.0 4766
190.0 4813
194.0 4760
198.0 4867
