# Te_center_MeV  sum_Npe  count
0.0500  160478  2206
0.1500  324445  4606
0.2500  483065  6605
0.3500  608024  8481
0.4500  772627  11031
0.5500  936643  13780
0.6500  1.07716e+06  16455
0.7500  1.24606e+06  19220
0.8500  1.42071e+06  21596
0.9500  1.62138e+06  23504
1.0500  1.77362e+06  24996
1.1500  1.93827e+06  26581
1.2500  2.09681e+06  27882
1.3500  2.24426e+06  29035
1.4500  2.41359e+06  29920
1.5500  2.53577e+06  30489
1.6500  2.64352e+06  31096
1.7500  2.77734e+06  31363
1.8500  2.87723e+06  31549
1.9500  2.92055e+06  31227
2.0500  2.95952e+06  30875
2.1500  3.02337e+06  30569
2.2500  3.01097e+06  29576
2.3500  3.06127e+06  29266
2.4500  3.00474e+06  28133
2.5500  3.0088e+06  27403
2.6500  2.93694e+06  26032
2.7500  2.85476e+06  24997
2.8500  2.8277e+06  24281
2.9500  2.74877e+06  22812
3.0500  2.6737e+06  21695
3.1500  2.62306e+06  20901
3.2500  2.5387e+06  19880
3.3500  2.40421e+06  18269
3.4500  2.36774e+06  17719
3.5500  2.25811e+06  16523
3.6500  2.19006e+06  15701
3.7500  2.06024e+06  14552
3.8500  1.99513e+06  13837
3.9500  1.89488e+06  12911
4.0500  1.79596e+06  12019
4.1500  1.70723e+06  11196
4.2500  1.62521e+06  10457
4.3500  1.51488e+06  9596
4.4500  1.38268e+06  8708
4.5500  1.33298e+06  8197
4.6500  1.25538e+06  7526
4.7500  1.1529e+06  6852
4.8500  1.0711e+06  6298
4.9500  996134  5724
5.0500  914901  5165
5.1500  838486  4640
5.2500  748683  4086
5.3500  665011  3607
5.4500  557899  3003
5.5500  500218  2651
5.6500  439851  2272
5.7500  375009  1958
5.8500  305791  1550
5.9500  258024  1300
6.0500  200644  980
6.1500  160820  772
6.2500  116662  573
6.3500  86983  411
6.4500  59899  287
6.5500  43077  195
6.6500  34505  161
6.7500  19129  90
6.8500  10045  44
6.9500  9151  44
7.0500  6665  28
7.1500  2715  14
7.2500  1179  6
7.3500  1643  5
7.4500  1550  5
7.5500  359  2
7.6500  0  0
7.7500  0  0
7.8500  0  0
7.9500  0  0
