# Te_center_MeV  mean_Npe  stderr_Npe  count
0.05000 0.009091 0.004795 550
0.15000 0.015260 0.004642 1114
0.25000 0.013043 0.003089 1610
0.35000 0.012724 0.002693 2122
0.45000 0.028394 0.003709 2571
0.55000 0.070989 0.005721 3085
0.65000 0.134303 0.007453 3574
0.75000 1.954946 0.037846 3973
0.85000 5.341772 0.044449 4345
0.95000 6.973684 0.045525 4712
1.05000 8.165214 0.047432 4818
1.15000 9.114461 0.047285 5373
1.25000 9.926183 0.049587 5622
1.35000 10.473503 0.050292 5812
1.45000 11.328027 0.053477 5905
1.55000 11.929488 0.054390 6155
1.65000 12.844318 0.057577 6160
1.75000 13.713805 0.060637 6237
1.85000 14.648408 0.063494 6189
1.95000 15.384738 0.066237 6264
2.05000 16.350641 0.071130 6086
2.15000 17.215512 0.074079 6060
2.25000 18.093971 0.077961 5789
2.35000 19.151127 0.081802 5856
2.45000 20.029486 0.087666 5528
2.55000 20.776291 0.091583 5306
2.65000 21.805550 0.096622 5333
2.75000 22.891023 0.101154 5102
2.85000 23.812163 0.107161 4818
2.95000 24.830221 0.113907 4659
3.05000 25.754830 0.121262 4503
3.15000 26.978688 0.128182 4176
3.25000 27.863659 0.136842 3990
3.35000 28.942192 0.146762 3650
3.45000 29.818131 0.149975 3607
3.55000 30.933111 0.164769 3304
3.65000 31.889997 0.171957 3109
3.75000 32.996215 0.185250 2906
3.85000 33.934491 0.195271 2763
3.95000 34.956090 0.204937 2619
4.05000 35.984496 0.225794 2322
4.15000 37.492714 0.238906 2196
4.25000 38.390115 0.247226 2084
4.35000 39.493179 0.263495 1906
4.45000 40.386924 0.270697 1866
4.55000 41.450530 0.292489 1698
4.65000 42.526386 0.317956 1497
4.75000 43.519723 0.331570 1445
4.85000 44.620879 0.370417 1274
4.95000 45.164491 0.381509 1149
5.05000 46.577105 0.408647 1057
5.15000 48.160428 0.440764 935
5.25000 49.557457 0.507033 818
5.35000 49.654613 0.494268 802
5.45000 51.820513 0.557028 663
5.55000 53.765324 0.598715 571
5.65000 53.874046 0.673428 524
5.75000 54.578431 0.783530 408
5.85000 55.763158 0.967222 304
5.95000 55.754237 1.063802 236
6.05000 57.829596 1.170047 223
6.15000 60.915344 1.169858 189
6.25000 60.603053 1.395994 131
6.35000 60.144231 1.458779 104
6.45000 62.064935 2.050825 77
6.55000 64.773585 2.800682 53
6.65000 60.809524 2.953770 42
6.75000 65.960000 3.298232 25
6.85000 76.272727 4.074301 22

