# generated_photons_center count
2.8 311
8.4 88
13.9 72
19.5 108
25.1 101
30.7 183
36.2 216
41.8 244
47.4 348
52.9 413
58.5 630
64.1 600
69.7 989
75.2 1319
80.8 1489
86.4 2324
92.0 2283
97.5 3200
103.1 2999
108.7 4341
114.3 5396
119.8 5547
125.4 7921
131.0 7760
136.5 10083
142.1 8403
147.7 9624
153.3 8206
158.8 5266
164.4 4310
170.0 2225
175.6 1622
181.1 623
186.7 369
192.3 159
197.9 57
203.4 45
209.0 25
214.6 25
220.1 16
225.7 11
231.3 10
236.9 7
242.4 8
248.0 6
253.6 7
259.2 3
264.7 0
270.3 3
275.9 1
281.5 2
287.0 1
292.6 0
298.2 0
303.7 1
309.3 0
314.9 0
320.5 0
326.0 0
331.6 0
