# Te_center_MeV  count
0.05000 550
0.15000 1114
0.25000 1610
0.35000 2122
0.45000 2571
0.55000 3085
0.65000 3574
0.75000 3973
0.85000 4345
0.95000 4712
1.05000 4818
1.15000 5373
1.25000 5622
1.35000 5812
1.45000 5905
1.55000 6155
1.65000 6160
1.75000 6237
1.85000 6189
1.95000 6264
2.05000 6086
2.15000 6060
2.25000 5789
2.35000 5856
2.45000 5528
2.55000 5306
2.65000 5333
2.75000 5102
2.85000 4818
2.95000 4659
3.05000 4503
3.15000 4176
3.25000 3990
3.35000 3650
3.45000 3607
3.55000 3304
3.65000 3109
3.75000 2906
3.85000 2763
3.95000 2619
4.05000 2322
4.15000 2196
4.25000 2084
4.35000 1906
4.45000 1866
4.55000 1698
4.65000 1497
4.75000 1445
4.85000 1274
4.95000 1149
5.05000 1057
5.15000 935
5.25000 818
5.35000 802
5.45000 663
5.55000 571
5.65000 524
5.75000 408
5.85000 304
5.95000 236
6.05000 223
6.15000 189
6.25000 131
6.35000 104
6.45000 77
6.55000 53
6.65000 42
6.75000 25
6.85000 22
6.95000 11
7.05000 5
7.15000 3
7.25000 2
7.35000 1
7.45000 1
7.55000 0
7.65000 0
7.75000 1
7.85000 0
7.95000 0
