T_MeV|S_total_MeV_per_cm|CSDA_range_cm|
1.000E-02|2.256E+01|2.515E-04|
1.250E-02|1.898E+01|3.728E-04|
1.500E-02|1.647E+01|5.147E-04|
1.750E-02|1.461E+01|6.762E-04|
2.000E-02|1.318E+01|8.566E-04|
2.500E-02|1.110E+01|1.272E-03|
3.000E-02|9.657E+00|1.756E-03|
3.500E-02|8.596E+00|2.306E-03|
4.000E-02|7.781E+00|2.919E-03|
4.500E-02|7.134E+00|3.591E-03|
5.000E-02|6.607E+00|4.320E-03|
5.500E-02|6.170E+00|5.103E-03|
6.000E-02|5.801E+00|5.940E-03|
7.000E-02|5.211E+00|7.762E-03|
8.000E-02|4.761E+00|9.773E-03|
9.000E-02|4.407E+00|1.196E-02|
1.000E-01|4.119E+00|1.431E-02|
1.250E-01|3.596E+00|2.083E-02|
1.500E-01|3.242E+00|2.817E-02|
1.750E-01|2.988E+00|3.622E-02|
2.000E-01|2.798E+00|4.488E-02|
2.500E-01|2.533E+00|6.372E-02|
3.000E-01|2.360E+00|8.421E-02|
3.500E-01|2.241E+00|1.060E-01|
4.000E-01|2.154E+00|1.288E-01|
4.500E-01|2.090E+00|1.523E-01|
5.000E-01|2.041E+00|1.766E-01|
5.500E-01|2.003E+00|2.013E-01|
6.000E-01|1.972E+00|2.265E-01|
7.000E-01|1.926E+00|2.778E-01|
8.000E-01|1.896E+00|3.302E-01|
9.000E-01|1.876E+00|3.832E-01|
1.000E+00|1.862E+00|4.367E-01|
1.250E+00|1.845E+00|5.717E-01|
1.500E+00|1.841E+00|7.075E-01|
1.750E+00|1.844E+00|8.432E-01|
2.000E+00|1.850E+00|9.785E-01|
2.500E+00|1.868E+00|1.247E+00|
3.000E+00|1.889E+00|1.514E+00|
3.500E+00|1.910E+00|1.777E+00|
4.000E+00|1.931E+00|2.037E+00|
4.500E+00|1.951E+00|2.295E+00|
5.000E+00|1.971E+00|2.550E+00|
5.500E+00|1.991E+00|2.802E+00|
6.000E+00|2.010E+00|3.052E+00|
7.000E+00|2.047E+00|3.545E+00|
8.000E+00|2.082E+00|4.030E+00|
9.000E+00|2.116E+00|4.506E+00|
1.000E+01|2.149E+00|4.975E+00|
1.250E+01|2.230E+00|6.117E+00|
1.500E+01|2.306E+00|7.219E+00|
1.750E+01|2.381E+00|8.286E+00|
2.000E+01|2.454E+00|9.320E+00|
2.500E+01|2.598E+00|1.130E+01|
3.000E+01|2.738E+00|1.317E+01|
3.500E+01|2.876E+00|1.496E+01|
4.000E+01|3.013E+00|1.665E+01|
4.500E+01|3.150E+00|1.828E+01|
5.000E+01|3.286E+00|1.983E+01|
5.500E+01|3.421E+00|2.132E+01|
6.000E+01|3.556E+00|2.276E+01|
7.000E+01|3.827E+00|2.547E+01|
8.000E+01|4.096E+00|2.799E+01|
9.000E+01|4.366E+00|3.035E+01|
1.000E+02|4.636E+00|3.258E+01|
1.250E+02|5.311E+00|3.761E+01|
1.500E+02|5.987E+00|4.204E+01|
1.750E+02|6.663E+00|4.600E+01|
2.000E+02|7.341E+00|4.957E+01|
2.500E+02|8.698E+00|5.582E+01|
3.000E+02|1.006E+01|6.116E+01|
3.500E+02|1.142E+01|6.583E+01|
4.000E+02|1.278E+01|6.996E+01|
4.500E+02|1.414E+01|7.368E+01|
5.000E+02|1.551E+01|7.706E+01|
5.500E+02|1.688E+01|8.014E+01|
6.000E+02|1.824E+01|8.299E+01|
7.000E+02|2.098E+01|8.810E+01|
8.000E+02|2.371E+01|9.258E+01|
9.000E+02|2.645E+01|9.657E+01|
1.000E+03|2.919E+01|1.002E+02|
