# event_id Enu_MeV Ee_MeV Te_MeV cosThetaE thetaE_deg eDirX eDirY eDirZ Tn_keV cosThetaN thetaN_deg nDirX nDirY nDirZ
0 4.4362485 3.1274745 2.6164756 0.011908395 89.317683 -0.10898354 0.99397222 -0.011908395 15.42698 0.81874437 35.040703 0.06257823 -0.57073779 -0.81874437
1 3.4370293 2.1311026 1.6201037 -0.52234156 121.48945 -0.11982182 -0.84427604 0.52234156 12.579717 0.93149092 21.331573 0.051114196 0.36015554 -0.93149092
2 2.7448537 1.4451351 0.93413615 -0.34659734 110.27933 0.62212316 -0.70202069 0.34659734 6.3716792 0.93020008 21.533975 -0.24344209 0.27470668 -0.93020008
3 2.463507 1.1638108 0.65281192 -0.91498226 156.20321 -0.4034533 -0.0057365493 0.91498226 6.3491554 0.99247748 7.0322116 0.12241496 0.0017405719 -0.99247748
4 4.2590826 2.9385874 2.4275885 -0.9767248 167.61402 -0.1301528 0.17049609 0.9767248 27.148176 0.99618483 5.0064853 0.052953077 -0.069366873 -0.99618483
5 3.9431417 2.6372747 2.1262758 -0.058617556 93.360465 -0.56915735 -0.82013651 0.058617556 12.52004 0.84580065 32.242179 0.30416793 0.4382957 -0.84580065
6 3.4935627 2.1961979 1.685199 0.61794258 51.833954 0.49861016 0.6078938 -0.61794258 4.017826 0.79134733 37.688399 -0.38771904 -0.47269795 -0.79134733
7 2.7692299 1.4672142 0.95621528 -0.87273817 150.77841 0.48776913 -0.020232595 0.87273817 8.6686794 0.98599472 9.600452 -0.16663323 0.0069119231 -0.98599472
8 5.6447561 4.3374362 3.8264372 0.49805943 60.128304 -0.86136549 -0.099931439 -0.49805943 13.972932 0.68372812 46.864337 0.72487492 0.084096466 -0.68372812
9 4.5854684 3.2685914 2.7575924 -0.42185019 114.95145 0.62391007 0.65785913 0.42185019 23.53001 0.89722187 26.204737 -0.30386754 -0.320402 -0.89722187
10 3.4622032 2.1537868 1.6427879 -0.81315714 144.40555 -0.56397866 0.14388724 0.81315714 15.069413 0.9732973 13.270472 0.22242343 -0.056746641 -0.9732973
