# event_id  Npe_top  Npe_bottom  Npe_total  asym  N_fired_PMTs
0 5 36 41 -0.756098 15
1 7 49 56 -0.75 7
2 21 3 24 0.75 8
3 3 0 3 1 2
4 8 44 52 -0.692308 10
5 29 1 30 0.933333 9
6 0 3 3 -1 1
7 4 34 38 -0.789474 8
8 5 39 44 -0.772727 12
9 25 0 25 1 11
10 26 0 26 1 15
11 5 7 12 -0.166667 9
12 46 19 65 0.415385 25
13 5 9 14 -0.285714 10
14 3 4 7 -0.142857 5
15 2 195 197 -0.979695 14
16 11 33 44 -0.5 20
17 4 5 9 -0.111111 8
18 15 23 38 -0.210526 14
19 4 41 45 -0.822222 8
20 37 0 37 1 7
21 0 11 11 -1 9
22 0 3 3 -1 3
23 37 95 132 -0.439394 18
24 35 13 48 0.458333 14
25 15 23 38 -0.210526 18
26 0 46 46 -1 10
27 57 11 68 0.676471 8
28 8 35 43 -0.627907 17
29 0 39 39 -1 2
30 10 154 164 -0.878049 20
31 4 33 37 -0.783784 16
32 0 14 14 -1 8
33 8 11 19 -0.157895 13
34 11 10 21 0.047619 13
35 73 22 95 0.536842 20
36 30 26 56 0.0714286 15
37 59 1 60 0.966667 13
38 2 22 24 -0.833333 14
39 42 50 92 -0.0869565 23
40 0 51 51 -1 7
41 9 4 13 0.384615 8
42 18 0 18 1 12
43 14 36 50 -0.44 16
44 0 140 140 -1 19
45 39 22 61 0.278689 21
46 0 35 35 -1 9
47 0 17 17 -1 2
48 2 39 41 -0.902439 14
49 93 7 100 0.86 18
50 7 9 16 -0.125 8
51 11 32 43 -0.488372 15
52 27 0 27 1 8
53 4 6 10 -0.2 8
54 6 1 7 0.714286 6
55 19 0 19 1 7
56 1 34 35 -0.942857 10
57 16 35 51 -0.372549 14
58 0 26 26 -1 12
59 4 3 7 0.142857 4
60 5 3 8 0.25 4
61 9 53 62 -0.709677 17
62 30 3 33 0.818182 4
63 247 29 276 0.789855 26
64 6 36 42 -0.714286 10
65 0 8 8 -1 7
66 3 19 22 -0.727273 8
67 219 0 219 1 17
68 10 16 26 -0.230769 14
69 5 6 11 -0.0909091 7
70 31 44 75 -0.173333 25
71 5 12 17 -0.411765 12
72 8 0 8 1 3
73 21 6 27 0.555556 12
74 11 59 70 -0.685714 17
75 42 190 232 -0.637931 20
76 42 0 42 1 10
77 7 21 28 -0.5 6
78 26 2 28 0.857143 10
