# event_id  Enu_MeV  Te+_MeV
0 2.86519 1.05617
1 6.89089 5.07775
2 2.60317 0.793031
3 5.51867 3.67836
4 3.01788 1.21124
5 4.6846 2.86932
6 4.48703 2.66634
7 3.30138 1.48473
8 3.26907 1.452
9 1.93153 0.124667
10 5.53803 3.72337
11 3.54778 1.7267
12 3.27338 1.45645
13 3.25662 1.44966
14 2.33397 0.526878
15 4.53907 2.70599
16 5.10331 3.27182
17 4.45629 2.62551
18 4.15741 2.3461
19 3.39122 1.57165
20 6.42912 4.56298
21 2.94196 1.13105
22 4.07835 2.27249
23 6.14605 4.30137
24 2.04934 0.243504
25 4.75418 2.93871
26 4.44526 2.61668
27 3.14149 1.33615
28 3.7678 1.95401
29 3.18361 1.3697
30 3.08355 1.27351
31 6.28021 4.44021
32 2.73199 0.921026
33 2.86323 1.05245
34 5.35819 3.54718
35 3.80232 1.97746
36 5.43953 3.59849
37 6.14715 4.33279
38 6.20428 4.34176
39 6.93553 5.07558
40 6.30055 4.49214
41 6.35398 4.54387
42 3.04111 1.23103
43 2.98457 1.16917
44 4.05428 2.2439
45 3.98406 2.1704
46 4.59116 2.75817
47 6.08394 4.26421
48 2.32332 0.51774
49 2.6394 0.830573
50 3.21288 1.4005
51 4.97994 3.1414
52 5.65172 3.83057
53 4.22767 2.4045
54 3.19324 1.38285
55 4.54802 2.72922
56 2.26811 0.462075
57 3.4431 1.63433
58 5.59717 3.78003
59 5.3094 3.4709
60 3.36606 1.55817
61 4.30486 2.47843
62 3.91541 2.0951
63 3.24019 1.42307
64 3.76777 1.9579
65 2.64911 0.839542
66 2.83854 1.02534
67 2.77937 0.968262
68 5.94296 4.08513
69 3.78412 1.95991
70 5.89853 4.08967
71 5.16058 3.34264
72 4.64007 2.82364
73 2.19705 0.390891
74 5.55882 3.72825
75 4.15258 2.32267
76 4.01527 2.18826
77 3.60871 1.80124
78 4.3805 2.5523
79 3.82392 2.01015
80 2.89332 1.08368
81 2.60716 0.79543
82 6.72101 4.85609
83 3.42885 1.62278
84 2.0516 0.245401
85 2.89454 1.08029
86 3.35899 1.54539
87 5.70339 3.85492
88 3.67583 1.85573
89 2.97463 1.16241
90 4.20384 2.3851
91 5.38196 3.55513
92 5.1597 3.33336
93 5.76201 3.93552
94 3.15507 1.34818
95 2.1556 0.34923
96 6.66386 4.8076
97 2.48517 0.675435
98 6.38736 4.51993
99 4.40108 2.58992
100 3.89079 2.06749
101 4.78525 2.97646
102 2.76042 0.954335
103 4.29353 2.48621
104 5.05622 3.24305
105 2.97758 1.1628
106 2.10566 0.297631
107 2.903 1.0972
108 5.91842 4.07893
109 5.35167 3.52159
110 3.81632 2.00854
111 3.9481 2.12334
112 6.89512 5.042
113 3.92267 2.11602
114 3.60167 1.78326
115 3.45726 1.63855
116 4.30548 2.49851
117 3.00561 1.19693
118 2.95646 1.14836
119 6.71458 4.90744
120 3.55589 1.74949
121 3.46236 1.65108
122 3.71185 1.89024
123 5.61389 3.76272
124 4.505 2.66936
125 4.6907 2.88229
126 3.85264 2.04643
127 4.77242 2.939
128 2.6934 0.883262
129 4.10122 2.28255
130 5.6528 3.80301
131 4.84137 3.03044
132 5.73543 3.87638
133 3.14849 1.34096
134 3.51015 1.68876
135 3.07591 1.25995
136 2.65845 0.847531
137 3.23659 1.42164
138 3.37931 1.5686
139 4.6756 2.85157
140 3.05626 1.24341
141 5.59667 3.76072
142 2.94689 1.13399
143 5.54391 3.70333
144 5.22371 3.39865
145 4.14378 2.31548
146 3.93965 2.1156
147 3.23128 1.42412
148 3.32026 1.50386
149 5.21539 3.40692
150 3.67475 1.85962
151 4.49827 2.68383
152 4.49479 2.65943
153 4.36849 2.54117
154 2.98428 1.17395
155 2.34496 0.538213
156 2.94886 1.1357
157 4.24006 2.42799
158 4.11074 2.29572
159 4.0166 2.20647
160 4.41994 2.60389
161 3.26756 1.45012
162 3.22897 1.41679
163 4.08612 2.28025
164 5.21362 3.39207
165 6.17799 4.31624
166 4.1018 2.28467
167 3.52835 1.70996
168 5.68857 3.88277
169 2.95796 1.14601
170 3.40162 1.58218
171 4.13939 2.33153
172 3.29185 1.48628
173 5.61499 3.77207
174 4.45395 2.62622
175 3.14021 1.33218
176 4.36788 2.54346
177 3.29167 1.47527
178 6.13076 4.32304
179 4.3137 2.49854
180 4.12445 2.31516
181 6.81372 4.94993
182 2.48404 0.675627
183 3.21018 1.39789
184 3.42414 1.60893
185 3.04499 1.23049
186 4.74259 2.93554
187 4.36454 2.53433
188 2.61874 0.807551
189 3.67936 1.85867
190 5.46359 3.63172
191 1.98618 0.179767
192 3.70714 1.88485
193 6.37487 4.52494
194 3.20645 1.38996
195 2.51944 0.711795
196 4.17761 2.36398
197 4.87218 3.03648
198 4.59396 2.77046
199 2.33811 0.529683
200 3.40066 1.58161
201 7.78953 5.8931
202 5.71257 3.87356
203 4.07209 2.25033
204 5.42302 3.58684
205 2.89301 1.0825
206 2.77753 0.970607
207 7.42045 5.58392
208 5.10325 3.27309
209 4.17807 2.35479
210 4.29721 2.48118
211 5.78393 3.95189
212 4.21597 2.4043
213 3.80162 1.98791
214 2.41061 0.601173
215 4.72381 2.91674
216 3.06289 1.25259
217 3.83627 2.02727
218 2.91735 1.10907
219 3.37752 1.55877
220 4.67777 2.85843
221 2.6089 0.799891
222 3.74183 1.92631
223 3.06204 1.25125
224 7.85079 5.96635
225 5.33876 3.52083
226 6.61739 4.76621
227 7.7189 5.84917
228 3.99129 2.16373
229 4.97298 3.13323
230 5.13229 3.30955
231 2.88339 1.07242
232 2.74014 0.929927
233 3.03543 1.21938
234 2.66642 0.860253
235 6.00787 4.14297
236 2.76193 0.950669
237 4.99365 3.17527
238 4.00985 2.19429
239 4.38109 2.56929
240 5.89019 4.05931
241 6.26213 4.39821
242 3.67673 1.86608
243 5.79 3.93218
