# event_id  Npe_top  Npe_bottom  Npe_total  asym  N_fired_PMTs
0 8 15 23 -0.304348 12
1 45 27 72 0.25 27
2 0 0 0 0 0
3 25 10 35 0.428571 18
4 0 4 4 -1 4
5 388 6 394 0.969543 12
6 1 1 2 0 2
7 3 8 11 -0.454545 9
8 1 17 18 -0.888889 10
9 0 0 0 0 0
10 60 0 60 1 7
11 0 0 0 0 0
12 114 1 115 0.982609 14
13 222 13 235 0.889362 23
14 6 1 7 0.714286 6
15 59 50 109 0.0825688 30
16 117 11 128 0.828125 21
17 240 73 313 0.533546 37
18 0 0 0 0 0
19 0 0 0 0 0
20 19 2 21 0.809524 5
21 72 138 210 -0.314286 35
22 3 37 40 -0.85 16
23 73 12 85 0.717647 19
24 0 4 4 -1 4
25 0 0 0 0 0
26 10 16 26 -0.230769 17
27 0 0 0 0 0
28 163 76 239 0.364017 34
29 9 0 9 1 5
30 3 14 17 -0.647059 12
31 0 0 0 0 0
32 25 258 283 -0.823322 25
33 81 32 113 0.433628 34
34 72 77 149 -0.033557 35
35 44 5 49 0.795918 19
36 96 8 104 0.846154 20
37 75 40 115 0.304348 24
38 0 0 0 0 0
39 26 77 103 -0.495146 24
40 0 1 1 -1 1
41 28 34 62 -0.0967742 26
42 10 1 11 0.818182 8
43 7 13 20 -0.3 13
44 4 20 24 -0.666667 14
45 16 3 19 0.684211 8
46 20 106 126 -0.68254 23
47 0 0 0 0 0
48 15 26 41 -0.268293 16
49 2 7 9 -0.555556 7
50 15 18 33 -0.0909091 15
51 7 14 21 -0.333333 6
52 0 0 0 0 0
53 1 11 12 -0.833333 9
54 43 116 159 -0.459119 32
55 10 0 10 1 6
56 50 43 93 0.0752688 28
57 0 0 0 0 0
58 1 18 19 -0.894737 11
59 26 120 146 -0.643836 31
60 19 108 127 -0.700787 30
61 0 12 12 -1 4
62 73 173 246 -0.406504 34
63 9 34 43 -0.581395 17
64 15 4 19 0.578947 10
65 4 47 51 -0.843137 10
66 6 9 15 -0.2 10
67 0 1 1 -1 1
68 15 40 55 -0.454545 16
69 7 96 103 -0.864078 23
70 0 0 0 0 0
71 15 138 153 -0.803922 30
72 3 4 7 -0.142857 7
73 3 40 43 -0.860465 12
74 0 0 0 0 0
75 0 0 0 0 0
76 29 61 90 -0.355556 27
77 0 0 0 0 0
78 0 0 0 0 0
79 10 31 41 -0.512195 14
80 5 4 9 0.111111 8
81 3 26 29 -0.793103 15
82 17 16 33 0.030303 19
83 0 0 0 0 0
84 10 0 10 1 4
85 50 29 79 0.265823 29
86 4 2 6 0.333333 6
87 123 24 147 0.673469 20
88 0 0 0 0 0
89 74 103 177 -0.163842 31
90 1 20 21 -0.904762 14
91 0 6 6 -1 3
92 207 10 217 0.907834 16
93 35 37 72 -0.0277778 20
94 12 2 14 0.714286 11
95 1 23 24 -0.916667 4
96 0 0 0 0 0
97 3 14 17 -0.647059 12
98 2 34 36 -0.888889 14
99 39 106 145 -0.462069 23
100 254 64 318 0.597484 34
101 30 120 150 -0.6 29
102 5 29 34 -0.705882 18
103 0 0 0 0 0
104 23 2 25 0.84 9
105 13 0 13 1 1
106 68 160 228 -0.403509 32
107 5 0 5 1 5
108 3 21 24 -0.75 13
109 45 171 216 -0.583333 33
110 0 0 0 0 0
111 50 56 106 -0.0566038 28
112 0 0 0 0 0
113 5 11 16 -0.375 11
114 9 32 41 -0.560976 17
115 6 80 86 -0.860465 21
116 0 0 0 0 0
117 2 4 6 -0.333333 6
118 21 2 23 0.826087 10
119 2 13 15 -0.733333 11
120 24 18 42 0.142857 18
121 6 1 7 0.714286 7
122 0 0 0 0 0
123 1 40 41 -0.95122 5
124 172 33 205 0.678049 32
125 59 126 185 -0.362162 35
126 25 0 25 1 1
127 1 18 19 -0.894737 8
128 6 38 44 -0.727273 20
129 0 0 0 0 0
130 1 2 3 -0.333333 3
131 12 4 16 0.5 10
132 46 6 52 0.769231 13
133 30 8 38 0.578947 14
134 4 17 21 -0.619048 12
135 3 0 3 1 2
136 54 48 102 0.0588235 28
137 185 61 246 0.504065 37
138 72 134 206 -0.300971 37
139 240 55 295 0.627119 36
140 43 146 189 -0.544974 35
141 15 6 21 0.428571 15
142 0 0 0 0 0
143 0 0 0 0 0
144 60 144 204 -0.411765 29
145 16 3 19 0.684211 13
146 44 26 70 0.257143 23
147 136 180 316 -0.139241 38
148 1 38 39 -0.948718 15
149 2 7 9 -0.555556 8
150 9 16 25 -0.28 10
