# event_id  Enu_MeV  Te+_MeV
0 3.9133 2.09509
1 5.66472 3.82076
2 6.50339 4.63907
3 4.40522 2.59122
4 4.89541 3.07014
5 5.74035 3.90967
6 5.65191 3.83951
7 3.76771 1.95023
8 2.61169 0.80202
9 5.54289 3.7263
10 4.23837 2.42261
11 3.62718 1.80719
12 5.33641 3.48946
13 5.70015 3.84894
14 4.31692 2.48517
15 4.46431 2.63276
16 3.53039 1.71524
17 3.72213 1.91005
18 3.84144 2.03347
19 4.25556 2.43814
20 4.08178 2.2706
21 4.66853 2.84334
22 5.27213 3.4395
23 3.25413 1.44092
24 3.15597 1.34408
25 5.51645 3.66796
26 4.70251 2.89265
27 4.71839 2.90424
28 3.83439 2.02715
29 5.3174 3.48547
30 3.45351 1.64392
31 5.74169 3.90343
32 6.51395 4.68563
33 2.64554 0.833113
34 4.85998 3.05265
35 3.40436 1.58782
36 3.96748 2.14007
37 4.58574 2.76078
38 3.4956 1.68487
39 5.09345 3.28758
40 5.89741 4.06023
41 3.56514 1.75113
42 3.68518 1.86602
43 4.82893 3.00837
44 5.34165 3.4953
45 4.1572 2.34747
46 5.40797 3.59089
47 3.78972 1.97992
48 2.7583 0.94854
49 5.28986 3.4795
50 2.47218 0.664941
51 5.97672 4.17066
52 4.98822 3.15761
53 2.41421 0.604199
54 5.73786 3.88596
55 2.93659 1.12228
56 2.71503 0.908099
57 3.48465 1.67145
58 4.52251 2.7127
59 3.03575 1.22294
60 4.2238 2.39604
61 6.23197 4.38071
62 5.84789 3.99653
63 4.39272 2.56927
64 2.08039 0.273905
65 3.75495 1.93052
66 5.156 3.33658
67 4.11728 2.29191
68 2.9867 1.17541
69 6.12233 4.31044
70 3.93307 2.11888
71 2.92934 1.11566
72 4.47108 2.66246
73 5.61593 3.7776
74 6.9605 5.07595
75 6.28674 4.44248
76 5.74654 3.9331
77 3.63819 1.81701
78 3.82804 2.01065
79 3.72152 1.89819
80 5.32377 3.51219
81 4.07998 2.27
82 3.00201 1.19163
83 4.33296 2.5108
84 4.23819 2.42083
85 5.08581 3.257
86 4.10996 2.28409
87 3.70211 1.87967
88 3.42215 1.60183
89 5.36576 3.51783
90 2.61794 0.806419
91 2.55404 0.745503
92 3.90201 2.09411
93 3.85605 2.03929
94 5.12488 3.30428
95 3.43101 1.61109
96 6.60954 4.77926
97 2.08117 0.273061
98 3.8697 2.05461
99 4.53165 2.69894
100 2.863 1.05407
101 7.46964 5.56899
102 3.01588 1.20053
103 3.44835 1.64276
104 4.75253 2.9239
105 3.94366 2.11781
106 4.94785 3.11616
107 4.65848 2.84268
108 2.72979 0.920337
109 3.88587 2.07741
110 3.24366 1.43627
111 3.65784 1.84983
112 5.26805 3.43838
113 2.68381 0.872225
114 3.89599 2.07874
115 3.33677 1.518
116 2.17518 0.368002
117 5.31822 3.49282
118 4.45906 2.64039
119 2.96848 1.16262
120 5.77275 3.92159
121 2.34343 0.535504
122 3.72097 1.90772
123 5.55656 3.71432
124 6.2874 4.47839
125 4.60457 2.78281
126 5.10459 3.25835
127 5.54471 3.70678
128 3.45267 1.6446
129 3.35353 1.54701
130 2.34939 0.541135
131 4.03479 2.22339
132 4.52455 2.69921
133 2.92457 1.11646
134 3.91379 2.10652
135 3.92104 2.11214
136 3.57786 1.76387
137 4.0839 2.27618
138 5.00577 3.16349
139 3.44353 1.62337
140 2.04018 0.232609
141 5.51778 3.686
142 3.80229 1.98603
143 3.25937 1.44222
144 3.50707 1.69744
145 2.63087 0.819408
146 4.78271 2.94595
147 3.66627 1.848
148 3.18494 1.37421
149 5.92856 4.11633
150 3.49348 1.68728
151 4.07664 2.26399
152 3.6262 1.81436
153 3.74164 1.93536
154 3.29886 1.48415
155 4.37915 2.57177
156 6.08014 4.24648
157 5.21104 3.40357
158 2.97558 1.16738
159 3.12179 1.30779
160 5.92917 4.11721
161 5.25052 3.40431
162 5.9016 4.07098
163 6.82328 4.97816
164 3.01972 1.21099
165 4.91951 3.09349
166 6.69745 4.84724
167 2.64165 0.836206
168 3.05732 1.24918
169 4.39431 2.57009
170 6.73938 4.87389
171 3.93397 2.11141
172 2.9572 1.15152
173 3.47616 1.65987
174 3.25821 1.44039
175 5.31711 3.48271
176 4.19514 2.38853
177 2.78005 0.972071
178 4.15137 2.334
179 3.26676 1.44932
180 3.21822 1.4049
181 4.76916 2.9508
182 5.84568 4.03472
183 5.19483 3.35838
184 3.29555 1.48302
185 4.39 2.55976
186 4.27184 2.45715
187 6.38571 4.54699
188 6.44249 4.6074
189 3.43786 1.62384
190 3.20648 1.39953
191 6.59789 4.7416
192 3.42735 1.62047
193 6.06914 4.22971
194 5.33264 3.48863
195 3.12481 1.30808
196 5.56425 3.74677
197 2.96411 1.15477
198 2.44602 0.636806
199 5.70593 3.87859
200 3.20578 1.39139
201 2.75428 0.942454
202 2.84861 1.04182
203 3.64179 1.82373
204 5.7949 3.93719
205 4.12846 2.32189
206 3.13341 1.3226
207 5.32816 3.51317
208 5.25253 3.41404
209 3.68602 1.87145
210 3.62178 1.80321
211 2.8522 1.04083
212 4.51546 2.69599
213 4.22645 2.39752
214 4.57815 2.74422
215 6.27692 4.45745
216 4.92525 3.11691
217 4.33578 2.52009
218 5.03568 3.19543
219 3.68972 1.87785
220 2.36721 0.559366
221 4.2861 2.45784
222 3.9429 2.12174
223 4.46843 2.64715
224 3.43914 1.62093
225 3.23731 1.42726
226 2.07262 0.264898
227 2.61476 0.808685
228 3.14811 1.33701
229 3.23971 1.43075
230 3.68725 1.88011
231 4.58147 2.75168
232 5.96504 4.11542
233 6.47129 4.66458
234 6.78515 4.93117
235 5.21445 3.372
236 6.16669 4.31391
237 2.26765 0.462205
238 4.1275 2.30537
239 3.57321 1.75298
240 2.90608 1.09406
241 5.61966 3.76301
242 4.44089 2.63227
243 4.44392 2.62469
244 3.67294 1.85698
245 2.83639 1.02421
246 3.54556 1.73762
247 4.80939 2.97105
248 4.73727 2.91131
249 2.84228 1.0285
250 3.86752 2.05174
251 3.0679 1.25271
252 5.32867 3.51911
253 3.03096 1.2202
254 2.99068 1.17649
255 5.68 3.86923
256 5.84915 3.9944
257 5.95987 4.10107
258 3.99007 2.17096
259 6.98367 5.16941
260 7.38714 5.55574
261 3.98514 2.17556
262 4.04047 2.22483
263 3.17174 1.35712
264 4.82862 3.01025
265 3.99739 2.17364
266 4.16449 2.34176
267 3.01075 1.19734
268 2.35302 0.545257
269 3.30046 1.48659
270 3.99707 2.1879
271 7.05321 5.20676
272 5.80741 3.95395
273 2.83861 1.02735
274 3.57551 1.76977
275 4.79299 2.97368
276 3.14044 1.32434
277 6.08833 4.26043
278 2.8418 1.03515
279 4.93741 3.12697
280 5.34951 3.52887
281 4.32601 2.50785
282 4.33247 2.50954
283 3.19045 1.37919
284 2.99222 1.17934
