# event_id  Npe_top  Npe_bottom  Npe_total  asym  N_fired_PMTs
0 30 18 48 0.25 18
1 60 7 67 0.791045 24
2 96 11 107 0.794393 24
3 17 37 54 -0.37037 23
4 40 18 58 0.37931 27
5 49 22 71 0.380282 27
6 14 62 76 -0.631579 22
7 21 14 35 0.2 22
8 1 4 5 -0.6 5
9 34 46 80 -0.15 26
10 10 35 45 -0.555556 19
11 27 3 30 0.8 15
12 84 11 95 0.768421 15
13 76 16 92 0.652174 25
14 45 20 65 0.384615 25
15 44 4 48 0.833333 19
16 28 5 33 0.69697 15
17 15 13 28 0.0714286 18
18 7 35 42 -0.666667 19
19 7 29 36 -0.611111 15
20 12 24 36 -0.333333 18
21 12 24 36 -0.333333 14
22 27 43 70 -0.228571 23
23 12 11 23 0.0434783 15
24 10 3 13 0.538462 11
25 39 37 76 0.0263158 30
26 17 42 59 -0.423729 28
27 23 22 45 0.0222222 24
28 2 29 31 -0.870968 13
29 51 35 86 0.186047 23
30 6 17 23 -0.478261 17
31 57 40 97 0.175258 30
32 45 51 96 -0.0625 28
33 13 0 13 1 8
34 2 78 80 -0.95 21
35 20 2 22 0.818182 14
36 43 2 45 0.911111 14
37 33 18 51 0.294118 26
38 13 18 31 -0.16129 19
39 13 61 74 -0.648649 19
40 24 64 88 -0.454545 26
41 15 29 44 -0.318182 24
42 29 6 35 0.657143 15
43 49 25 74 0.324324 28
44 66 1 67 0.970149 19
45 16 28 44 -0.272727 21
46 23 28 51 -0.0980392 19
47 18 20 38 -0.0526316 24
48 0 1 1 -1 1
49 1 94 95 -0.978947 14
50 3 3 6 0 5
51 6 92 98 -0.877551 24
52 21 56 77 -0.454545 24
53 6 1 7 0.714286 5
54 50 29 79 0.265823 29
55 12 2 14 0.714286 5
56 3 4 7 -0.142857 4
57 9 12 21 -0.142857 10
58 14 44 58 -0.517241 21
59 17 5 22 0.545455 12
60 45 2 47 0.914894 13
61 76 15 91 0.67033 25
62 33 3 36 0.833333 16
63 31 18 49 0.265306 20
64 0 0 0 0 0
65 45 1 46 0.956522 16
66 12 65 77 -0.688312 25
67 30 16 46 0.304348 23
68 7 7 14 0 10
69 10 41 51 -0.607843 22
70 13 7 20 0.3 12
71 9 4 13 0.384615 11
72 2 54 56 -0.928571 14
73 30 26 56 0.0714286 23
74 104 16 120 0.733333 27
75 77 11 88 0.75 20
76 5 91 96 -0.895833 22
77 17 17 34 0 17
78 16 15 31 0.0322581 17
79 31 5 36 0.722222 14
80 9 96 105 -0.828571 23
81 5 44 49 -0.795918 17
82 7 3 10 0.4 4
83 24 32 56 -0.142857 27
84 23 20 43 0.0697674 18
85 12 89 101 -0.762376 17
86 44 0 44 1 8
87 24 8 32 0.5 14
88 33 4 37 0.783784 12
89 66 7 73 0.808219 24
90 11 1 12 0.833333 8
91 2 1 3 0.333333 3
92 3 40 43 -0.860465 19
93 33 6 39 0.692308 21
94 8 58 66 -0.757576 22
95 14 0 14 1 6
96 78 40 118 0.322034 30
97 0 0 0 0 0
98 28 10 38 0.473684 16
99 40 5 45 0.777778 18
100 3 2 5 0.2 3
101 135 27 162 0.666667 23
102 18 0 18 1 9
103 18 13 31 0.16129 13
104 30 30 60 0 28
105 23 0 23 1 14
106 60 13 73 0.643836 22
107 21 33 54 -0.222222 15
108 1 8 9 -0.777778 5
109 0 40 40 -1 11
110 2 27 29 -0.862069 7
111 2 20 22 -0.818182 9
112 37 23 60 0.233333 17
113 9 0 9 1 7
114 21 10 31 0.354839 17
115 26 3 29 0.793103 14
116 0 0 0 0 0
117 10 90 100 -0.8 22
118 47 26 73 0.287671 21
119 1 18 19 -0.894737 7
120 32 9 41 0.560976 20
121 2 0 2 1 2
122 12 29 41 -0.414634 19
123 89 11 100 0.78 22
124 17 120 137 -0.751825 22
125 67 10 77 0.74026 25
126 14 0 14 1 5
127 25 83 108 -0.537037 26
128 6 25 31 -0.612903 14
129 7 20 27 -0.481481 17
130 1 0 1 1 1
131 22 15 37 0.189189 16
132 51 8 59 0.728814 20
133 2 14 16 -0.75 8
134 15 24 39 -0.230769 20
135 12 33 45 -0.466667 20
136 8 25 33 -0.515152 16
137 6 43 49 -0.755102 16
138 50 12 62 0.612903 20
139 10 5 15 0.333333 11
140 0 0 0 0 0
141 29 58 87 -0.333333 27
142 7 51 58 -0.758621 22
143 4 18 22 -0.636364 12
144 13 9 22 0.181818 15
145 12 0 12 1 8
146 76 2 78 0.948718 18
147 17 1 18 0.888889 10
148 12 10 22 0.0909091 16
149 9 95 104 -0.826923 24
150 0 18 18 -1 6
151 3 20 23 -0.73913 12
152 3 14 17 -0.647059 9
153 5 25 30 -0.666667 15
154 12 13 25 -0.04 16
155 5 33 38 -0.736842 18
156 52 43 95 0.0947368 28
157 1 88 89 -0.977528 9
158 0 10 10 -1 6
159 18 2 20 0.8 11
160 6 68 74 -0.837838 23
161 69 16 85 0.623529 28
162 43 52 95 -0.0947368 27
163 76 32 108 0.407407 25
164 6 7 13 -0.0769231 9
165 19 46 65 -0.415385 21
166 49 50 99 -0.010101 22
167 0 14 14 -1 6
168 1 12 13 -0.846154 8
169 71 1 72 0.972222 17
170 19 113 132 -0.712121 24
171 33 5 38 0.736842 18
172 1 13 14 -0.857143 9
173 7 0 7 1 6
174 17 6 23 0.478261 15
175 32 50 82 -0.219512 23
176 0 47 47 -1 16
177 4 3 7 0.142857 6
178 43 8 51 0.686275 22
179 26 2 28 0.857143 11
180 10 3 13 0.538462 8
181 20 65 85 -0.529412 23
182 12 73 85 -0.717647 25
183 59 33 92 0.282609 26
184 6 15 21 -0.428571 11
185 49 3 52 0.884615 19
186 38 12 50 0.52 24
187 36 41 77 -0.0649351 29
188 16 76 92 -0.652174 28
189 26 14 40 0.3 17
190 12 17 29 -0.172414 14
191 73 12 85 0.717647 25
192 2 18 20 -0.8 11
193 14 78 92 -0.695652 20
194 57 13 70 0.628571 19
195 16 0 16 1 8
196 13 31 44 -0.409091 20
197 7 4 11 0.272727 7
198 3 0 3 1 3
199 46 39 85 0.0823529 29
200 4 6 10 -0.2 9
201 13 0 13 1 9
202 4 9 13 -0.384615 11
203 13 28 41 -0.365854 21
204 100 7 107 0.869159 24
205 8 33 41 -0.609756 20
206 3 20 23 -0.73913 8
207 2 58 60 -0.933333 15
208 50 19 69 0.449275 18
209 15 4 19 0.578947 12
210 45 4 49 0.836735 20
211 4 1 5 0.6 4
212 53 22 75 0.413333 29
213 28 4 32 0.75 18
214 42 15 57 0.473684 22
215 25 75 100 -0.5 30
216 5 78 83 -0.879518 13
217 28 19 47 0.191489 24
218 28 6 34 0.647059 19
219 11 30 41 -0.463415 18
220 1 1 2 0 2
221 27 10 37 0.459459 22
222 20 3 23 0.73913 11
223 17 45 62 -0.451613 23
