# event_id  Enu_MeV  Te+_MeV
0 3.9133 2.09509
1 4.61196 2.79498
2 5.2991 3.46555
3 4.26915 2.44618
4 2.96655 1.15344
5 6.51169 4.70129
6 3.011 1.20226
7 5.40783 3.57419
8 4.72963 2.92063
9 3.65176 1.83743
10 4.18862 2.38062
11 5.8961 4.06413
12 2.97603 1.16086
13 2.62739 0.81591
14 3.31628 1.50782
15 6.32507 4.4799
16 2.47163 0.662825
17 3.33414 1.51489
18 4.14157 2.32006
19 5.1355 3.31809
20 6.48548 4.65038
21 3.33681 1.52986
22 3.44317 1.62858
23 5.49029 3.64163
24 4.43976 2.62628
25 3.75585 1.94098
26 4.61605 2.80084
27 3.97826 2.15616
28 3.17648 1.36452
29 4.68684 2.88038
30 5.67494 3.84806
31 3.87222 2.04996
32 4.52454 2.70984
33 3.96555 2.14438
34 5.63854 3.79949
35 3.92857 2.10236
36 3.23848 1.4234
37 4.11672 2.2885
38 6.48347 4.64033
39 6.85405 5.04316
40 6.86048 5.05187
41 2.92751 1.11999
42 3.50867 1.69071
43 7.86261 5.97724
44 3.23454 1.42345
45 4.08329 2.25778
46 3.91402 2.09319
47 4.12391 2.30712
48 4.09146 2.27102
49 5.00333 3.18215
50 3.80515 1.98623
51 4.37162 2.56065
52 3.16659 1.35858
53 5.46035 3.6388
54 2.29428 0.487729
55 2.26169 0.454199
56 4.24757 2.42828
57 4.11246 2.30049
58 4.39789 2.57701
59 3.6474 1.84123
60 5.03645 3.22605
61 2.66844 0.857561
62 5.46599 3.65437
63 4.01874 2.20234
64 5.76571 3.92158
65 5.55428 3.71248
66 1.98328 0.176233
67 3.51531 1.7006
68 4.03417 2.21362
69 4.45603 2.63828
70 3.29514 1.48583
71 2.59756 0.78647
72 4.67922 2.87239
73 4.35649 2.54626
74 4.4617 2.63056
75 5.08399 3.26232
76 2.1399 0.333882
77 3.06147 1.2551
78 3.00922 1.20244
79 3.80018 1.98239
80 3.8542 2.03168
81 4.60139 2.78443
82 6.21029 4.35772
83 4.72406 2.89658
84 3.05042 1.23991
85 3.98021 2.16554
86 5.66751 3.84702
87 3.97201 2.15347
88 4.03325 2.21742
89 3.26438 1.45443
90 4.58573 2.75217
91 1.96079 0.155152
92 6.90671 5.03362
93 3.49564 1.68248
94 2.91594 1.10627
95 6.72151 4.90701
96 3.55587 1.74928
97 2.98032 1.17159
98 3.08937 1.27907
99 3.03998 1.22533
100 3.74479 1.92481
101 3.29427 1.47897
102 4.42217 2.61635
103 3.99361 2.17242
104 4.97506 3.15298
105 3.72437 1.90575
106 3.22538 1.41341
107 3.14049 1.32352
108 4.3104 2.50132
109 7.19802 5.30931
110 4.50447 2.6793
111 3.42729 1.61322
112 6.27234 4.45892
113 5.2552 3.42268
114 7.08663 5.27087
115 4.25672 2.44347
116 3.34737 1.53385
117 2.40652 0.596354
118 4.10394 2.29691
119 2.57551 0.768625
120 4.9109 3.10003
121 5.69134 3.87839
122 3.53126 1.72432
123 3.72158 1.90246
124 4.81878 2.98336
125 3.64102 1.82964
126 3.65044 1.83932
127 3.39939 1.5886
128 2.6986 0.889966
129 5.83864 3.99135
130 4.54732 2.73889
131 5.55429 3.71235
132 3.75181 1.94617
133 6.4995 4.64377
134 3.00793 1.20178
135 6.31479 4.45068
136 3.07971 1.26701
137 5.26444 3.43536
138 6.46462 4.64157
139 3.10559 1.29545
140 5.52889 3.68591
141 1.97115 0.163835
142 3.91476 2.10112
143 5.65292 3.83583
144 2.81112 0.997455
145 4.23077 2.41621
146 2.68386 0.875288
147 5.48939 3.63564
148 6.07973 4.26604
149 6.13451 4.29018
150 3.07919 1.27144
151 4.94144 3.10945
152 6.56974 4.72698
153 4.68966 2.8717
154 4.97849 3.14695
155 4.68731 2.86024
156 2.6321 0.822371
157 4.93212 3.12431
158 7.39742 5.54381
159 3.29301 1.48052
160 5.65365 3.83228
161 5.59485 3.78199
162 5.87812 4.04874
163 3.43 1.6195
164 4.58137 2.76509
165 6.38282 4.53937
166 5.45915 3.64229
167 6.671 4.82565
168 5.34602 3.53291
169 5.42067 3.57891
170 4.13776 2.3273
171 3.67797 1.85771
172 5.76424 3.9178
173 3.38697 1.56795
174 3.35591 1.53928
175 5.46284 3.63368
176 4.54702 2.71545
177 3.29269 1.48663
178 4.3705 2.55827
179 3.59819 1.79211
180 3.90316 2.0767
181 4.75459 2.94112
182 4.99803 3.19091
183 2.21941 0.410788
184 3.72973 1.92369
185 5.80339 3.97153
186 6.00618 4.16598
187 3.98168 2.15554
188 4.61052 2.7831
189 4.75647 2.94624
190 2.70989 0.897736
191 3.96313 2.14839
192 4.43087 2.5987
193 3.09303 1.28179
194 4.46893 2.65889
195 6.24916 4.44089
196 5.17681 3.35141
197 3.781 1.97436
198 5.51963 3.66594
199 2.50344 0.692462
200 5.1718 3.36153
201 2.1393 0.33078
202 2.69425 0.884797
203 2.50701 0.698512
204 4.79494 2.98959
205 3.61771 1.79807
206 3.06662 1.25954
207 5.54381 3.6956
208 7.01723 5.21119
209 5.24485 3.42978
210 2.8686 1.05655
