# event_id  Npe_top  Npe_bottom  Npe_total  asym  N_fired_PMTs
0 27 15 42 0.285714 18
1 49 29 78 0.25641 20
2 40 55 95 -0.157895 25
3 27 11 38 0.421053 18
4 6 9 15 -0.2 6
5 77 20 97 0.587629 32
6 9 4 13 0.384615 8
7 76 19 95 0.6 21
8 37 9 46 0.608696 22
9 2 15 17 -0.764706 10
10 35 5 40 0.75 20
11 49 32 81 0.209877 28
12 12 9 21 0.142857 13
13 4 7 11 -0.272727 8
14 21 7 28 0.5 16
15 110 19 129 0.705426 27
16 1 5 6 -0.666667 5
17 5 25 30 -0.666667 16
18 10 23 33 -0.393939 23
19 52 9 61 0.704918 18
20 65 40 105 0.238095 32
21 37 7 44 0.681818 17
22 23 2 25 0.84 12
23 3 59 62 -0.903226 20
24 85 4 89 0.910112 16
25 22 3 25 0.76 14
26 27 3 30 0.8 9
27 2 27 29 -0.862069 10
28 2 15 17 -0.764706 6
29 65 2 67 0.940299 17
30 10 85 95 -0.789474 20
31 11 20 31 -0.290323 20
32 30 9 39 0.538462 21
33 9 20 29 -0.37931 14
34 41 34 75 0.0933333 23
35 3 28 31 -0.806452 14
36 2 14 16 -0.75 9
37 12 45 57 -0.578947 16
38 43 61 104 -0.173077 29
39 129 32 161 0.602484 33
40 149 11 160 0.8625 22
41 11 0 11 1 5
42 1 40 41 -0.95122 15
43 38 120 158 -0.518987 27
44 30 1 31 0.935484 10
45 21 27 48 -0.125 22
46 4 37 41 -0.804878 15
47 25 20 45 0.111111 20
48 27 25 52 0.0384615 15
49 37 20 57 0.298246 21
50 10 32 42 -0.52381 19
51 28 29 57 -0.0175439 29
52 9 13 22 -0.181818 13
53 61 11 72 0.694444 16
54 2 0 2 1 2
55 0 0 0 0 0
56 21 13 34 0.235294 17
57 47 6 53 0.773585 19
58 25 21 46 0.0869565 23
59 37 11 48 0.541667 21
60 63 23 86 0.465116 26
61 0 6 6 -1 5
62 26 5 31 0.677419 15
63 1 4 5 -0.6 4
64 28 63 91 -0.384615 29
65 18 53 71 -0.492958 23
66 0 0 0 0 0
67 28 12 40 0.4 22
68 21 33 54 -0.222222 26
69 33 16 49 0.346939 21
70 25 3 28 0.785714 9
71 1 9 10 -0.8 7
72 39 11 50 0.56 20
73 19 17 36 0.0555556 22
74 15 51 66 -0.545455 24
75 37 33 70 0.0571429 26
76 1 0 1 1 1
77 15 1 16 0.875 8
78 15 2 17 0.764706 10
79 23 21 44 0.0454545 16
80 1 43 44 -0.954545 12
81 22 31 53 -0.169811 19
82 51 44 95 0.0736842 29
83 14 58 72 -0.611111 25
84 5 16 21 -0.52381 14
85 11 20 31 -0.290323 14
86 96 5 101 0.90099 20
87 16 20 36 -0.111111 14
88 38 17 55 0.381818 27
89 14 8 22 0.272727 16
90 9 24 33 -0.454545 21
91 0 0 0 0 0
92 21 112 133 -0.684211 29
93 7 27 34 -0.588235 13
94 6 2 8 0.5 7
95 129 21 150 0.72 28
96 16 6 22 0.454545 12
97 12 13 25 -0.04 15
98 11 9 20 0.1 13
99 3 28 31 -0.806452 13
100 1 36 37 -0.945946 14
101 6 17 23 -0.478261 11
102 59 6 65 0.815385 19
103 22 10 32 0.375 15
104 41 26 67 0.223881 23
105 6 23 29 -0.586207 10
106 3 6 9 -0.333333 8
107 0 21 21 -1 10
108 41 10 51 0.607843 22
109 19 138 157 -0.757962 31
110 21 43 64 -0.34375 19
111 8 18 26 -0.384615 14
112 86 25 111 0.54955 27
113 29 40 69 -0.15942 23
114 79 33 112 0.410714 31
115 37 5 42 0.761905 14
116 21 3 24 0.75 8
117 1 3 4 -0.5 4
118 42 8 50 0.68 22
119 11 0 11 1 5
120 35 10 45 0.555556 23
121 54 35 89 0.213483 25
122 26 9 35 0.485714 17
123 12 31 43 -0.44186 16
124 28 45 73 -0.232877 26
125 13 9 22 0.181818 15
126 31 9 40 0.55 18
127 17 6 23 0.478261 14
128 3 3 6 0 5
129 6 112 118 -0.898305 19
130 34 21 55 0.236364 24
131 2 106 108 -0.962963 13
132 45 2 47 0.914894 18
133 32 50 82 -0.219512 23
134 9 3 12 0.5 5
135 6 139 145 -0.917241 16
136 14 10 24 0.166667 13
137 50 30 80 0.25 25
138 115 4 119 0.932773 19
139 4 15 19 -0.578947 9
140 43 42 85 0.0117647 25
141 0 0 0 0 0
142 19 12 31 0.225806 12
143 35 62 97 -0.278351 24
144 2 19 21 -0.809524 8
145 42 9 51 0.647059 19
146 6 1 7 0.714286 4
147 3 75 78 -0.923077 22
148 93 21 114 0.631579 27
149 42 57 99 -0.151515 24
150 11 5 16 0.375 12
151 4 85 89 -0.910112 23
152 75 48 123 0.219512 28
153 34 33 67 0.0149254 30
154 40 32 72 0.111111 23
155 42 28 70 0.2 24
156 6 7 13 -0.0769231 8
157 62 30 92 0.347826 26
158 61 52 113 0.079646 28
159 10 10 20 0 14
160 95 14 109 0.743119 21
161 46 34 80 0.15 26
162 68 47 115 0.182609 33
163 10 0 10 1 5
164 38 21 59 0.288136 22
165 11 80 91 -0.758242 24
166 69 28 97 0.42268 33
167 58 56 114 0.0175439 31
168 103 14 117 0.760684 24
169 37 35 72 0.0277778 25
170 11 16 27 -0.185185 18
171 6 23 29 -0.586207 15
172 15 71 86 -0.651163 25
173 2 38 40 -0.9 10
174 9 13 22 -0.181818 14
175 34 36 70 -0.0285714 23
176 0 39 39 -1 14
177 9 5 14 0.285714 11
178 42 19 61 0.377049 23
179 36 4 40 0.8 15
180 1 46 47 -0.957447 14
181 20 45 65 -0.384615 24
182 45 6 51 0.764706 20
183 0 1 1 -1 1
184 36 2 38 0.894737 15
185 63 28 91 0.384615 26
186 20 14 34 0.176471 21
187 2 41 43 -0.906977 18
188 13 40 53 -0.509434 27
189 27 6 33 0.636364 19
190 0 11 11 -1 7
191 26 16 42 0.238095 20
192 7 31 38 -0.631579 17
193 3 8 11 -0.454545 9
194 52 1 53 0.962264 17
195 76 8 84 0.809524 19
196 34 31 65 0.0461538 27
197 20 10 30 0.333333 18
198 8 42 50 -0.68 20
199 0 2 2 -1 2
200 70 0 70 1 18
201 0 0 0 0 0
202 1 4 5 -0.6 5
203 0 0 0 0 0
204 52 5 57 0.824561 22
205 7 13 20 -0.3 13
206 13 2 15 0.733333 9
207 3 108 111 -0.945946 14
208 122 9 131 0.862595 26
209 105 4 109 0.926606 21
210 6 10 16 -0.25 11
211 1 0 1 1 1
212 71 8 79 0.797468 22
213 7 10 17 -0.176471 15
214 15 0 15 1 10
215 2 1 3 0.333333 3
216 12 28 40 -0.4 20
217 9 8 17 0.0588235 12
218 0 1 1 -1 1
219 18 1 19 0.894737 14
220 51 9 60 0.7 17
221 12 19 31 -0.225806 16
222 0 45 45 -1 10
223 46 40 86 0.0697674 31
224 12 24 36 -0.333333 19
225 61 13 74 0.648649 20
226 8 82 90 -0.822222 20
227 72 34 106 0.358491 28
228 0 4 4 -1 4
229 39 13 52 0.5 21
230 9 9 18 0 14
231 1 51 52 -0.961538 16
232 90 13 103 0.747573 28
233 12 22 34 -0.294118 14
234 5 27 32 -0.6875 17
235 32 0 32 1 15
236 46 7 53 0.735849 20
237 6 11 17 -0.294118 16
238 0 7 7 -1 4
239 4 56 60 -0.866667 15
240 28 54 82 -0.317073 25
241 4 2 6 0.333333 6
242 22 19 41 0.0731707 20
