# event_id  Npe_top  Npe_bottom  Npe_total  asym  N_fired_PMTs
0 45 0 45 1 15
1 13 87 100 -0.74 20
2 28 13 41 0.365854 15
3 0 2 2 -1 2
4 64 2 66 0.939394 8
5 18 45 63 -0.428571 8
6 0 0 0 0 0
7 1 0 1 1 1
8 33 0 33 1 2
9 6 3 9 0.333333 8
10 5 1 6 0.666667 6
11 7 0 7 1 3
12 132 0 132 1 1
13 0 0 0 0 0
14 0 1 1 -1 1
15 70 17 87 0.609195 26
16 0 0 0 0 0
17 71 82 153 -0.0718954 32
18 8 31 39 -0.589744 16
19 22 1 23 0.913043 13
20 179 0 179 1 1
21 0 8 8 -1 1
22 0 0 0 0 0
23 1 0 1 1 1
24 0 0 0 0 0
25 2 0 2 1 1
26 0 6 6 -1 3
27 0 0 0 0 0
28 0 0 0 0 0
29 0 85 85 -1 6
30 0 0 0 0 0
31 0 0 0 0 0
32 0 51 51 -1 1
33 29 16 45 0.288889 17
34 2 9 11 -0.636364 6
35 122 0 122 1 5
36 1 1 2 0 2
37 6 0 6 1 2
38 0 2 2 -1 2
39 19 11 30 0.266667 19
40 6 19 25 -0.52 11
41 5 22 27 -0.62963 16
42 0 0 0 0 0
43 0 0 0 0 0
44 134 0 134 1 12
45 3 0 3 1 2
46 28 0 28 1 1
47 0 4 4 -1 1
48 14 0 14 1 10
49 1 0 1 1 1
50 25 0 25 1 7
51 5 0 5 1 3
52 0 0 0 0 0
53 9 0 9 1 7
54 2 3 5 -0.2 4
55 1 1 2 0 2
56 7 47 54 -0.740741 15
57 3 2 5 0.2 2
58 33 0 33 1 8
59 5 6 11 -0.0909091 7
60 9 4 13 0.384615 10
61 0 47 47 -1 13
62 6 46 52 -0.769231 12
63 8 0 8 1 3
64 3 0 3 1 3
65 3 0 3 1 1
66 0 7 7 -1 2
67 121 12 133 0.819549 21
68 0 0 0 0 0
69 2 69 71 -0.943662 11
70 4 0 4 1 4
71 1 0 1 1 1
72 46 0 46 1 6
73 0 0 0 0 0
