# event_id Enu_MeV Ee_MeV Te_MeV cosThetaE thetaE_deg eDirX eDirY eDirZ Tn_keV cosThetaN thetaN_deg nDirX nDirY nDirZ
0 2.8651875 1.5671702 1.0561713 0.19355907 78.839439 0.4962677 0.84631747 -0.19355907 4.670336 0.87112212 29.4107 -0.24839796 -0.42360914 -0.87112212
1 6.8908887 5.5887448 5.0777459 0.80753714 36.144003 -0.44299131 0.38941297 -0.80753714 8.7968875 0.58968041 53.865667 0.60658848 -0.53322361 -0.58968041
2 2.603169 1.3040296 0.79303072 -0.42141624 114.92403 0.77970871 -0.46310116 0.42141624 5.7923439 0.94386417 19.289037 -0.28401524 0.16868837 -0.94386417
3 5.5186677 4.189356 3.6783571 -0.42095798 114.89508 0.9049018 -0.062826022 0.42095798 35.96463 0.88762606 27.423562 -0.4594588 0.031899559 -0.88762606
4 3.0178823 1.7222381 1.2112392 0.7551028 40.965647 0.60106359 -0.26180589 -0.7551028 2.2971667 0.85478894 31.263575 -0.47579989 0.20724464 -0.85478894
5 4.6845975 3.3803141 2.8693152 0.40266848 66.254895 0.9030352 -0.14961792 -0.40266848 10.936459 0.73740026 42.489574 -0.66637168 0.11040671 -0.73740026
6 4.4870265 3.1773427 2.6663438 -0.021420894 91.227421 -0.9907256 -0.13417872 0.021420894 16.336822 0.82368299 34.544807 0.56192044 0.076103581 -0.82368299
7 3.3013819 1.9957242 1.4847253 -0.65880399 131.20872 0.088848509 0.7470497 0.65880399 12.310678 0.95313483 17.610578 -0.035730728 -0.30042856 -0.95313483
8 3.269069 1.9630009 1.452002 -0.76607036 140.00231 0.32633277 -0.55375367 0.76607036 12.721125 0.96828207 14.469205 -0.12685574 0.21526135 -0.96828207
9 1.9315343 0.63566586 0.12466695 -0.58087072 125.51181 0.12810638 -0.80385195 0.58087072 2.5214518 0.98992017 8.1419758 -0.022289129 0.13986158 -0.98992017
10 5.5380329 4.2343689 3.7233699 0.62247207 51.503116 0.29619339 -0.72442943 -0.62247207 10.31704 0.66401784 48.392979 -0.2829758 0.69210187 -0.66401784
11 3.5477802 2.2377035 1.7267046 -0.89905565 154.03421 -0.43305384 -0.064523666 0.89905565 16.729614 0.9853259 9.8275622 0.16881989 0.025153635 -0.9853259
12 3.2733807 1.9674484 1.4564495 -0.73930027 137.67184 -0.6053438 -0.29494744 0.73930027 12.585329 0.96457782 15.295569 0.23714653 0.11554717 -0.96457782
13 3.2566249 1.9606585 1.4496596 0.75164661 41.266786 0.5692363 -0.33316273 -0.75164661 2.6193301 0.82661543 34.247386 -0.48569438 0.2842673 -0.82661543
14 2.3339697 1.0378766 0.52687773 0.26292268 74.756445 0.78078058 -0.56679216 -0.26292268 2.7460384 0.92338016 22.574649 -0.31066138 0.22551846 -0.92338016
15 4.5390716 3.2169874 2.7059885 -0.79342672 142.50691 0.13729699 -0.59297857 0.79342672 28.737134 0.96448587 15.315527 -0.059580911 0.25732686 -0.96448587
16 5.1033089 3.7828158 3.2718169 -0.27707862 106.08592 0.042176616 -0.95992113 0.27707862 27.146018 0.86263642 30.386099 -0.022203285 0.50533695 -0.86263642
17 4.4562906 3.1365047 2.6255058 -0.72058159 136.10252 -0.56539151 0.40136593 0.72058159 26.438902 0.95217092 17.792216 0.24916618 -0.17688064 -0.95217092
18 4.1574141 2.8570957 2.3460968 0.5178694 58.810557 0.36622092 -0.77310641 -0.5178694 6.9713556 0.74696471 41.671869 -0.28462708 0.60085868 -0.74696471
19 3.3912239 2.0826491 1.5716502 -0.93874605 159.84203 0.29604765 0.17638495 0.93874605 15.227749 0.99145029 7.4976169 -0.11209714 -0.066787385 -0.99145029
20 6.4291164 5.0739803 4.5629814 -0.73933903 137.67514 0.4311335 -0.51720566 0.73933903 61.789132 0.94834776 18.495646 -0.20312317 0.24367499 -0.94834776
21 2.9419569 1.6420471 1.1310481 -0.13142086 97.551706 0.20905675 -0.96903242 0.13142086 6.5628365 0.89743437 26.177151 -0.093031864 0.43122689 -0.89743437
22 4.0783532 2.783489 2.2724901 0.95290316 17.654398 -0.29203205 0.081809816 -0.95290316 1.5171677 0.87097868 29.427432 0.47310708 -0.13253615 -0.87097868
23 6.1460542 4.8123709 4.301372 -0.24753469 104.33168 -0.042988592 0.96792487 0.24753469 40.336284 0.8451543 32.311529 0.023716445 -0.53399601 -0.8451543
24 2.049341 0.75450274 0.24350383 0.74878065 41.515136 -0.21092984 -0.62835988 -0.74878065 1.4912524 0.97556329 12.692506 0.069921484 0.20829606 -0.97556329
25 4.7541843 3.4497111 2.9387122 0.41250434 65.637749 0.72406792 -0.55278007 -0.41250434 11.126139 0.73278633 42.879507 -0.54085883 0.41291152 -0.73278633
26 4.4452562 3.1276756 2.6166767 -0.58127368 125.54018 0.67868873 0.44889031 0.58127368 24.233583 0.92769151 21.922224 -0.3113977 -0.205961 -0.92769151
27 3.1414921 1.8471517 1.3361527 0.9998933 0.83700207 0.0094497796 0.011139706 -0.9998933 0.99342712 0.99982005 1.08699 -0.012271852 -0.014466457 -0.99982005
28 3.7678036 2.4650094 1.9540105 0.1270459 82.70108 0.96635726 -0.22363583 -0.1270459 9.4471749 0.82268769 34.645246 -0.55385589 0.12817415 -0.82268769
29 3.1836102 1.880697 1.369698 -0.38977188 112.94031 0.91651009 0.089928503 0.38977188 9.5662538 0.91914055 23.199242 -0.39204702 -0.038467881 -0.91914055
30 3.0835516 1.7845133 1.2735144 0.16678497 80.399057 0.21122834 -0.96310195 -0.16678497 5.6912501 0.8565724 31.066117 -0.11054791 0.50404651 -0.8565724
31 6.2802119 4.9512085 4.4402096 -0.046673794 92.675183 -0.087987567 0.99502751 0.046673794 35.656382 0.7978271 37.076896 0.053104374 -0.60054295 -0.7978271
32 2.7319909 1.4320247 0.92102578 -0.42969267 115.44806 0.89906209 -0.08397362 0.42969267 6.619207 0.93929269 20.066889 -0.34163002 0.031908707 -0.93929269
33 2.8632346 1.563445 1.0524461 -0.19960697 101.51398 0.11773826 0.97277683 0.19960697 6.4426596 0.90902666 24.628812 -0.050073682 -0.41371869 -0.90902666
34 5.358191 4.0581746 3.5471757 0.75085381 41.335608 0.28852795 -0.59411294 -0.75085381 6.6693819 0.65990476 48.707391 -0.32822955 0.67586321 -0.65990476
35 3.8023182 2.4884592 1.9774602 -0.96504096 164.80535 0.10643341 0.23951593 0.96504096 20.512057 0.99466119 5.9231591 -0.041905337 -0.094303054 -0.99466119
36 5.4395324 4.1094904 3.5984915 -0.5001682 120.01113 -0.47212231 0.72590102 0.5001682 36.694947 0.90428841 25.272386 0.23276691 -0.35788551 -0.90428841
37 6.1471538 4.8437856 4.3327867 0.7122661 44.580408 -0.56716295 0.41352532 -0.7122661 10.021164 0.6263246 51.220524 0.62990865 -0.45927397 -0.6263246
38 6.2042783 4.8527571 4.3417581 -0.7737187 140.68901 -0.50806343 0.37845862 0.7737187 58.174259 0.95579514 17.099585 0.23580223 -0.17565008 -0.95579514
39 6.9355333 5.5865747 5.0755758 -0.31760768 108.51831 0.87624024 -0.3623926 0.31760768 55.611626 0.85515841 31.22276 -0.47901621 0.19810997 -0.85515841
40 6.3005513 5.0031347 4.4921357 0.90598493 25.043734 -0.33744461 -0.25558253 -0.90598493 4.0696198 0.64779744 49.624256 0.60728451 0.45996086 -0.64779744
41 6.3539842 5.0548644 4.5438655 0.85776936 30.932959 -0.51371994 0.017987584 -0.85776936 5.7728549 0.61954092 51.717382 0.78448362 -0.027468206 -0.61954092
42 3.0411083 1.742027 1.2310281 0.12529391 82.802271 0.93223699 0.33946375 -0.12529391 5.7343524 0.86377743 30.256604 -0.47346059 -0.17240541 -0.86377743
43 2.9845704 1.6801688 1.1691699 -0.96139369 164.02746 0.16712258 0.21861433 0.96139369 11.054509 0.99529294 5.5613884 -0.058857524 -0.076991981 -0.99529294
44 4.0542802 2.7548963 2.2438974 0.56646788 55.495714 -0.025402875 0.82369219 -0.56646788 6.0368877 0.74885953 41.508317 0.02042901 -0.66241382 -0.74885953
45 3.9840574 2.6813961 2.1703972 0.25467301 75.24579 -0.31126774 0.91556215 -0.25467301 9.314291 0.79303239 37.530197 0.19608333 -0.57675901 -0.79303239
46 4.5911641 3.2691723 2.7581734 -0.73863607 137.61536 -0.41982548 -0.52741191 0.73863607 28.644776 0.95461197 17.328651 0.18549941 0.23303636 -0.95461197
47 6.0839377 4.7752076 4.2642087 0.53168697 57.880492 -0.35676134 0.7681343 -0.53168697 15.383136 0.66283267 48.483732 0.31540725 -0.67909581 -0.66283267
48 2.323322 1.0287391 0.51774021 0.93296361 21.098397 0.15673366 -0.32405782 -0.93296361 1.2358555 0.97752671 12.169919 -0.091788792 0.18977975 -0.97752671
49 2.6394004 1.3415722 0.83057333 0.015545031 89.109299 -0.454575 -0.8905728 -0.015545031 4.4812121 0.90384676 25.331594 0.19451629 0.38108325 -0.90384676
50 3.2128802 1.9114983 1.4004994 -0.11289198 96.482053 0.86791052 -0.48372175 0.11289198 8.0349355 0.88174022 28.146998 -0.4120582 0.22965676 -0.88174022
51 4.9799388 3.6523996 3.1414007 -0.71713989 135.81885 -0.2588414 0.64707922 0.71713989 34.192201 0.9488357 18.407316 0.1172779 -0.29318374 -0.9488357
52 5.6517159 4.341568 3.8305691 0.39094285 66.986821 -0.27344526 -0.878858 -0.39094285 16.800908 0.70692314 45.014878 0.21012827 0.67535604 -0.70692314
53 4.2276696 2.9155021 2.4045032 -0.37326956 111.9174 0.0018676971 -0.92772105 0.37326956 18.820525 0.89352404 26.680527 -0.00090396026 0.44901444 -0.89352404
54 3.1932359 1.8938511 1.3828522 0.18886679 79.113341 0.96821718 -0.16396595 -0.18886679 6.0378108 0.84662251 32.153807 -0.52472285 0.088860929 -0.84662251
55 4.5480216 3.2402188 2.7292198 0.13238507 82.392562 0.93577432 0.32680363 -0.13238507 14.45582 0.79272908 37.558716 -0.57548906 -0.20097999 -0.79272908
56 2.2681089 0.97307387 0.46207496 0.70733437 44.981556 0.64312102 0.29338274 -0.70733437 1.6880747 0.94446232 19.185021 -0.29897936 -0.13639016 -0.94446232
57 3.4431002 2.1453293 1.6343304 0.54994861 56.636512 -0.21563295 0.80688224 -0.54994861 4.4238991 0.7971131 37.144699 0.15589786 -0.58335801 -0.7971131
58 5.5971672 4.2910246 3.7800257 0.53435002 57.700158 0.57895119 -0.61586165 -0.53435002 12.795572 0.67787845 47.321921 -0.50354708 0.53565022 -0.67787845
59 5.3094004 3.9818953 3.4708964 -0.47486128 118.35032 0.15680475 -0.86597865 0.47486128 34.158166 0.9002129 25.813934 -0.077586283 0.42848233 -0.9002129
60 3.3660593 2.0691643 1.5581654 0.64354817 49.943091 -0.011901362 -0.76531308 -0.64354817 3.5480402 0.80408663 36.477862 0.0092441235 0.59444027 -0.80408663
61 4.3048622 2.989432 2.4784331 -0.55293194 123.56839 -0.7933195 0.25477528 0.55293194 22.08319 0.92407307 22.471006 0.36390985 -0.11686998 -0.92407307
62 3.9154075 2.6061037 2.0951048 -0.39822065 113.46699 0.22837653 -0.88840558 0.39822065 15.956831 0.90321073 25.416634 -0.10685677 0.41568259 -0.90321073
63 3.240186 1.9340688 1.4230698 -0.81753733 144.83903 -0.31439499 0.48248162 0.81753733 12.770266 0.97552018 12.703742 0.12005818 -0.18424551 -0.97552018
64 3.7677734 2.468902 1.9579031 0.53079772 57.94063 0.0052548723 0.84748225 -0.53079772 5.5243291 0.77192004 39.473379 -0.0039417478 -0.63570741 -0.77192004
65 2.6491143 1.3505409 0.83954197 -0.18331308 100.5628 0.64390806 -0.74281809 0.18331308 5.2264642 0.91967597 23.121243 -0.25720709 0.29671639 -0.91967597
66 2.8385367 1.5363342 1.0253353 -0.77856381 141.12927 -0.58207511 -0.23457826 0.77856381 8.8555014 0.9747189 12.91085 0.20723859 0.083517864 -0.9747189
67 2.7793734 1.4792611 0.96826219 -0.39090485 113.01081 0.81240525 -0.43265587 0.39090485 6.7653377 0.93334203 21.038081 -0.31685591 0.16874531 -0.93334203
68 5.9429592 4.5961278 4.0851289 -0.79662079 142.80861 -0.0016282138 -0.60447719 0.79662079 53.484414 0.96090079 16.07485 0.00074583327 0.27689189 -0.96090079
69 3.7841178 2.4709084 1.9599095 -0.92336803 157.42354 -0.1479231 0.35427423 0.92336803 19.862366 0.98830937 8.7696152 0.05874362 -0.14069033 -0.98830937
70 5.8985276 4.6006657 4.0896668 0.87533124 28.915798 -0.055953825 -0.48027533 -0.87533124 4.5148971 0.65106759 49.377858 0.087834481 0.75392049 -0.65106759
71 5.1605848 3.8536366 3.3426377 0.39897385 66.485956 0.75942709 -0.51389723 -0.39897385 13.601214 0.72027421 43.922876 -0.57451278 0.38876744 -0.72027421
72 4.6400674 3.3346428 2.8236439 0.31895444 71.400294 0.82992751 0.45769901 -0.31895444 12.077565 0.75437125 41.029539 -0.5748275 -0.3170132 -0.75437125
73 2.1970513 0.90188982 0.39089091 0.60308722 52.908675 -0.73252747 -0.31573614 -0.60308722 1.8145191 0.94707162 18.724763 0.29480379 0.12706719 -0.94707162
74 5.5588156 4.2392439 3.728245 -0.008755104 90.501637 0.16940335 -0.98550792 0.008755104 26.224703 0.79921591 36.944707 -0.10182278 0.59235635 -0.79921591
75 4.1525839 2.8336689 2.3226699 -0.97819317 168.01256 -0.17937766 -0.10469855 0.97819317 25.568083 0.99647775 4.8103321 0.072423548 0.042271933 -0.99647775
76 4.015266 2.6992608 2.1882619 -0.89793033 153.88734 -0.059572816 -0.43608738 0.89793033 22.658234 0.98376681 10.337816 0.024288844 0.17780019 -0.98376681
77 3.6087091 2.3122344 1.8012355 0.7515386 41.276168 -0.15181003 0.641984 -0.7515386 3.1277088 0.78954839 37.856672 0.14122416 -0.59721778 -0.78954839
78 4.3804966 3.0632945 2.5522956 -0.61251986 127.77193 0.43604612 -0.6593051 0.61251986 23.855163 0.9337913 20.966259 -0.19738652 0.29844994 -0.9337913
79 3.8239166 2.521151 2.0101521 0.16240237 80.653634 0.54458092 -0.82283479 -0.16240237 9.4186613 0.81473802 35.438534 -0.32001223 0.48352263 -0.81473802
80 2.893318 1.5946837 1.0836848 0.084495525 85.152984 -0.13229381 0.98760258 -0.084495525 5.2873325 0.87834376 28.556787 0.063467314 -0.47379757 -0.87834376
81 2.6071611 1.3064291 0.79543021 -0.88816555 152.64363 0.45607014 -0.056231486 0.88816555 7.3849333 0.98888695 8.5498246 -0.14755211 0.01819254 -0.98888695
82 6.7210145 5.3670926 4.8560937 -0.54215482 122.83045 -0.65696311 0.52389658 0.54215482 60.574894 0.90614137 25.022552 0.33069858 -0.26371626 -0.90614137
83 3.4288467 2.1337822 1.6227833 0.90237852 25.527503 -0.39325337 0.17625205 -0.90237852 1.7174898 0.8678353 29.791946 0.45339667 -0.20320765 -0.8678353
84 2.0516018 0.75639965 0.24540074 0.45213764 63.119084 0.88844842 0.078936441 -0.45213764 1.8551124 0.96385063 15.452723 -0.2653977 -0.023579928 -0.96385063
85 2.8945352 1.5912937 1.0802948 -0.89920942 154.05434 -0.43511055 0.045839068 0.89920942 9.8945126 0.98817681 8.8192929 0.15247479 -0.016063279 -0.98817681
86 3.3589941 2.0563935 1.5453945 -0.15530846 98.934686 -0.94346353 -0.29284099 0.15530846 9.2536484 0.88122645 28.209335 0.45144773 0.14012455 -0.88122645
87 5.7033907 4.3659228 3.8549239 -0.62314474 128.54615 -0.25238635 0.74026466 0.62314474 44.120865 0.92736812 21.9718 0.12073854 -0.35413356 -0.92736812
88 3.6758258 2.3667311 1.8557322 -0.62223414 128.47947 0.41769548 -0.66208395 0.62223414 15.74773 0.94274723 19.481843 -0.17795003 0.2820664 -0.94274723
89 2.974626 1.6734126 1.1624137 -0.35238731 110.6334 -0.20358157 -0.91344279 0.35238731 7.866463 0.92141498 22.866173 0.084529969 0.37927445 -0.92141498
90 4.2038368 2.8961039 2.385105 -0.047000602 92.693929 -0.4218595 0.90544216 0.047000602 14.385876 0.83597527 33.282473 0.23175874 -0.4974266 -0.83597527
91 5.3819578 4.0661311 3.5551322 0.073470051 85.78668 -0.97764914 -0.19698811 -0.073470051 22.479616 0.78427825 38.346025 0.60818623 0.12254443 -0.78427825
92 5.1596995 3.8443549 3.333356 5.5025305e-05 89.996847 -0.99601254 0.089213302 -5.5025305e-05 21.997583 0.80442155 36.445572 0.59169011 -0.052997956 -0.80442155
93 5.7620096 4.446514 3.9355151 0.22121432 77.219634 -0.71765124 -0.66033394 -0.22121432 22.148586 0.74320007 41.995269 0.4923564 0.45303292 -0.74320007
94 3.1550707 1.8591806 1.3481817 0.74217257 42.083184 -0.66576921 0.077014455 -0.74217257 2.5430174 0.83643048 33.234915 0.54444247 -0.062979692 -0.83643048
95 2.1555988 0.8602291 0.34923019 0.44441301 63.614211 -0.73510291 -0.51197733 -0.44441301 2.0226975 0.94808216 18.543558 0.26096867 0.18175692 -0.94808216
96 6.6638649 5.3185984 4.8075995 -0.3439607 110.11837 0.80891718 -0.47680607 0.3439607 51.919486 0.86282515 30.364714 -0.43548093 0.25668877 -0.86282515
97 2.4851726 1.186434 0.67543506 -0.52118354 121.41167 -0.42941222 -0.73754516 0.52118354 5.3916365 0.95775203 16.714044 0.14470409 0.24853928 -0.95775203
98 6.3873581 5.0309332 4.5199343 -0.80257832 143.37702 -0.38205588 0.45814992 0.80257832 63.07796 0.96120511 16.011759 0.17665713 -0.21184192 -0.96120511
99 4.4010798 3.1009181 2.5899192 0.59184837 53.711716 0.48517526 -0.64367731 -0.59184837 6.814688 0.72444495 43.577306 -0.41492145 0.55047225 -0.72444495
100 3.8907913 2.5784936 2.0674947 -0.70456268 134.79422 0.46000321 0.54035959 0.70456268 18.9507 0.95346072 17.548755 -0.19544918 -0.22959152 -0.95346072
101 4.7852465 3.4874618 2.9764629 0.80151184 36.725284 -0.57903763 -0.14931238 -0.80151184 4.4377129 0.69966554 45.599824 0.69183933 0.17839976 -0.69966554
102 2.7604209 1.4653337 0.95433477 0.82231413 34.682878 -0.47416615 -0.31458853 -0.82231413 1.7402292 0.90183471 25.59971 0.36004587 0.23887471 -0.90183471
103 4.2935258 2.9972126 2.4862137 0.85102457 31.676717 -0.49282348 -0.18133449 -0.85102457 2.9661732 0.75399746 41.062153 0.61647044 0.2268304 -0.75399746
104 5.0562248 3.7540467 3.2430478 0.60690794 52.633739 -0.39957744 -0.68702301 -0.60690794 8.8311524 0.68758918 46.560427 0.365052 0.62766087 -0.68758918
