# event_id  Enu_MeV  Te+_MeV
0 5.46243 3.65809
1 4.70805 2.90371
2 2.94853 1.14418
3 2.8121 1.00776
4 2.49998 0.695639
5 5.04868 3.24434
6 2.66581 0.861463
7 3.23221 1.42786
8 4.29947 2.49512
9 2.49963 0.695285
10 6.13589 4.33155
11 2.72197 0.917622
12 4.83559 3.03124
13 6.24356 4.43921
14 3.12001 1.31567
15 4.33956 2.53522
16 4.5727 2.76836
17 3.0091 1.20475
18 4.94096 3.13662
19 2.2937 0.489355
20 2.69294 0.888599
21 4.5006 2.69625
22 2.7648 0.960453
23 4.07035 2.266
24 2.8199 1.01555
25 2.22943 0.425086
26 7.43726 5.63291
27 2.02863 0.224289
28 4.32492 2.52058
29 2.96254 1.1582
30 4.26635 2.462
31 3.29387 1.48953
32 2.62162 0.817275
33 5.42075 3.6164
34 3.65871 1.85436
35 1.85507 0.0507196
36 4.28703 2.48268
37 5.1169 3.31255
38 4.01542 2.21108
39 4.62359 2.81925
40 4.2581 2.45376
41 2.78964 0.985297
42 2.57747 0.773123
43 3.63097 1.82663
44 6.01102 4.20667
45 4.16488 2.36053
46 2.73563 0.931281
47 3.72488 1.92053
48 3.67311 1.86876
49 3.49049 1.68614
50 4.6153 2.81095
51 4.58229 2.77794
52 4.23596 2.43161
53 2.18451 0.380168
54 3.37501 1.57067
55 2.48844 0.684092
56 4.05703 2.25269
57 3.09082 1.28647
58 6.66565 4.86131
59 3.48227 1.67792
60 2.0232 0.218851
61 4.6782 2.87385
62 3.3834 1.57905
63 2.58918 0.784832
64 3.6729 1.86855
65 3.07119 1.26684
66 5.77885 3.9745
67 3.44275 1.63841
68 4.66135 2.85701
69 5.48464 3.68029
70 4.22226 2.41791
71 5.65752 3.85318
72 5.07745 3.2731
73 4.17199 2.36764
74 6.69184 4.88749
75 4.64686 2.84251
76 3.58041 1.77607
77 5.13528 3.33094
78 3.71501 1.91067
79 5.95937 4.15503
80 4.83788 3.03353
81 6.31859 4.51425
82 5.18539 3.38104
83 5.8607 4.05635
