# event_id  Npe_top  Npe_bottom  Npe_total  asym  N_fired_PMTs
0 9 1 10 0.8 9
1 0 12 12 -1 6
2 7 0 7 1 5
3 0 10 10 -1 6
4 0 2 2 -1 2
5 5 20 25 -0.6 13
6 5 0 5 1 3
7 0 6 6 -1 2
8 21 0 21 1 7
9 0 6 6 -1 4
10 3 16 19 -0.684211 9
11 4 0 4 1 3
12 27 5 32 0.6875 16
13 59 0 59 1 10
14 8 0 8 1 3
15 0 10 10 -1 8
16 0 24 24 -1 10
17 3 2 5 0.2 4
18 7 1 8 0.75 5
19 0 0 0 0 0
20 0 0 0 0 0
21 12 0 12 1 5
22 0 4 4 -1 2
23 11 0 11 1 2
24 0 11 11 -1 5
25 0 0 0 0 0
26 15 36 51 -0.411765 18
27 0 0 0 0 0
28 1 25 26 -0.923077 14
29 3 0 3 1 2
30 0 19 19 -1 3
31 2 2 4 0 4
32 0 3 3 -1 3
33 0 58 58 -1 11
34 2 6 8 -0.5 5
35 0 0 0 0 0
36 0 42 42 -1 13
37 2 28 30 -0.866667 12
38 4 14 18 -0.555556 9
39 26 0 26 1 12
40 24 0 24 1 8
41 4 0 4 1 3
42 3 1 4 0.5 4
43 0 28 28 -1 9
44 3 2 5 0.2 4
45 34 0 34 1 9
46 0 0 0 0 0
47 3 12 15 -0.6 11
48 0 37 37 -1 8
49 0 31 31 -1 8
50 2 22 24 -0.833333 9
51 12 1 13 0.846154 9
52 0 30 30 -1 11
53 0 1 1 -1 1
54 0 0 0 0 0
55 0 0 0 0 0
56 18 0 18 1 9
57 0 2 2 -1 1
58 58 0 58 1 9
59 2 7 9 -0.555556 6
60 0 0 0 0 0
61 34 16 50 0.36 18
62 0 2 2 -1 2
63 0 9 9 -1 5
64 5 0 5 1 2
65 22 0 22 1 5
66 11 4 15 0.466667 8
67 0 13 13 -1 6
68 61 0 61 1 13
69 3 24 27 -0.777778 14
70 18 0 18 1 8
71 1 89 90 -0.977778 13
72 20 16 36 0.111111 16
73 0 9 9 -1 2
74 51 0 51 1 8
75 30 6 36 0.666667 13
76 12 0 12 1 4
77 12 9 21 0.142857 9
78 0 7 7 -1 6
79 18 28 46 -0.217391 16
80 0 31 31 -1 10
81 0 0 0 0 0
82 26 6 32 0.625 12
83 17 15 32 0.0625 15
84 0 0 0 0 0
85 18 0 18 1 11
86 9 16 25 -0.28 11
87 43 0 43 1 8
88 0 70 70 -1 12
89 0 33 33 -1 9
90 0 1 1 -1 1
91 8 3 11 0.454545 4
92 30 3 33 0.818182 10
93 119 2 121 0.966942 18
94 0 0 0 0 0
95 14 0 14 1 5
96 0 0 0 0 0
97 0 12 12 -1 4
98 28 0 28 1 4
99 1 0 1 1 1
100 0 0 0 0 0
101 21 0 21 1 9
102 1 33 34 -0.941176 12
103 23 0 23 1 5
104 39 0 39 1 8
105 35 7 42 0.666667 16
106 0 0 0 0 0
107 0 15 15 -1 9
108 0 1 1 -1 1
109 0 4 4 -1 3
110 3 17 20 -0.7 10
111 2 20 22 -0.818182 6
112 3 0 3 1 3
113 0 7 7 -1 5
114 9 0 9 1 3
115 8 6 14 0.142857 9
116 2 0 2 1 1
117 66 0 66 1 5
118 11 10 21 0.047619 8
119 11 17 28 -0.214286 16
120 33 2 35 0.885714 16
121 0 1 1 -1 1
122 0 0 0 0 0
123 16 4 20 0.6 12
124 19 0 19 1 8
125 13 10 23 0.130435 15
126 7 0 7 1 6
127 44 9 53 0.660377 14
128 0 39 39 -1 7
129 0 4 4 -1 3
130 12 2 14 0.714286 7
131 5 18 23 -0.565217 10
132 0 0 0 0 0
133 2 12 14 -0.714286 9
134 3 0 3 1 2
135 1 11 12 -0.833333 10
136 33 0 33 1 2
137 0 0 0 0 0
138 5 9 14 -0.285714 9
139 0 12 12 -1 6
140 0 12 12 -1 4
141 65 0 65 1 12
142 2 0 2 1 1
143 5 3 8 0.25 4
144 11 7 18 0.222222 6
145 3 24 27 -0.777778 9
146 1 0 1 1 1
147 0 0 0 0 0
148 12 8 20 0.2 10
149 5 9 14 -0.285714 9
150 1 5 6 -0.666667 3
151 5 12 17 -0.411765 6
152 0 14 14 -1 5
153 0 9 9 -1 5
154 0 1 1 -1 1
155 7 12 19 -0.263158 13
156 20 3 23 0.73913 8
157 0 13 13 -1 7
158 5 0 5 1 3
159 0 0 0 0 0
160 32 2 34 0.882353 15
161 10 0 10 1 4
162 0 17 17 -1 8
163 85 0 85 1 12
164 9 1 10 0.8 7
165 13 0 13 1 4
166 11 4 15 0.466667 8
167 3 0 3 1 2
168 0 0 0 0 0
169 0 39 39 -1 10
170 0 11 11 -1 6
171 1 18 19 -0.894737 10
172 1 19 20 -0.9 10
173 11 2 13 0.692308 6
174 0 12 12 -1 3
175 0 9 9 -1 6
176 18 7 25 0.44 10
177 0 63 63 -1 11
178 2 38 40 -0.9 12
179 10 9 19 0.0526316 14
180 43 1 44 0.954545 6
181 5 0 5 1 4
182 8 0 8 1 6
183 0 0 0 0 0
184 0 20 20 -1 11
185 62 0 62 1 8
186 75 0 75 1 14
187 0 0 0 0 0
188 3 0 3 1 3
189 0 6 6 -1 2
190 23 0 23 1 6
191 2 7 9 -0.555556 7
192 0 17 17 -1 4
193 0 0 0 0 0
194 0 0 0 0 0
195 1 31 32 -0.9375 10
196 0 0 0 0 0
197 17 0 17 1 7
198 0 52 52 -1 12
199 0 16 16 -1 6
200 0 10 10 -1 4
201 0 74 74 -1 13
202 1 0 1 1 1
203 5 7 12 -0.166667 9
204 0 3 3 -1 2
205 4 2 6 0.333333 3
