# event_id  Npe_top  Npe_bottom  Npe_total  asym  N_fired_PMTs
0 0 1 1 -1 1
1 2 0 2 1 1
2 0 0 0 0 0
3 0 5 5 -1 3
4 0 1 1 -1 1
5 0 2 2 -1 2
6 3 3 6 0 4
7 0 0 0 0 0
8 0 1 1 -1 1
9 0 0 0 0 0
10 0 2 2 -1 2
11 7 0 7 1 5
12 4 0 4 1 3
13 0 0 0 0 0
14 4 0 4 1 3
15 2 5 7 -0.428571 4
16 0 3 3 -1 2
17 0 0 0 0 0
18 5 0 5 1 2
19 0 2 2 -1 1
20 0 4 4 -1 3
21 0 3 3 -1 2
22 0 3 3 -1 3
23 1 0 1 1 1
24 0 3 3 -1 3
25 0 4 4 -1 3
26 0 2 2 -1 1
27 1 0 1 1 1
28 0 1 1 -1 1
29 0 2 2 -1 2
30 3 0 3 1 2
31 3 0 3 1 2
32 0 0 0 0 0
33 3 0 3 1 2
34 0 0 0 0 0
35 7 0 7 1 4
36 0 13 13 -1 4
37 5 0 5 1 3
38 0 3 3 -1 2
39 1 0 1 1 1
40 0 1 1 -1 1
41 0 3 3 -1 2
42 5 0 5 1 5
43 1 0 1 1 1
44 0 5 5 -1 4
45 0 2 2 -1 1
46 0 4 4 -1 3
47 3 0 3 1 1
48 3 0 3 1 2
49 0 2 2 -1 1
50 5 0 5 1 4
51 1 0 1 1 1
52 0 0 0 0 0
53 0 0 0 0 0
54 0 7 7 -1 5
55 3 0 3 1 1
56 0 3 3 -1 2
57 0 1 1 -1 1
58 0 1 1 -1 1
59 0 0 0 0 0
60 0 4 4 -1 1
61 0 4 4 -1 3
62 4 0 4 1 3
63 0 0 0 0 0
64 0 2 2 -1 1
65 0 0 0 0 0
66 1 0 1 1 1
67 0 4 4 -1 3
68 1 0 1 1 1
69 0 3 3 -1 2
70 6 0 6 1 4
71 0 1 1 -1 1
72 0 0 0 0 0
73 2 2 4 0 2
74 3 0 3 1 2
75 1 4 5 -0.6 3
76 0 1 1 -1 1
77 0 5 5 -1 5
78 5 0 5 1 3
79 8 0 8 1 3
80 0 0 0 0 0
81 1 0 1 1 1
82 0 5 5 -1 4
83 1 2 3 -0.333333 2
84 0 0 0 0 0
85 4 0 4 1 2
86 0 2 2 -1 2
87 0 2 2 -1 2
88 0 0 0 0 0
89 0 7 7 -1 2
90 3 1 4 0.5 3
91 0 0 0 0 0
92 0 0 0 0 0
93 0 0 0 0 0
94 3 0 3 1 3
95 7 0 7 1 4
96 0 0 0 0 0
97 0 4 4 -1 4
98 5 0 5 1 2
99 0 0 0 0 0
100 0 0 0 0 0
101 0 4 4 -1 2
102 2 2 4 0 3
103 0 3 3 -1 3
104 6 0 6 1 3
105 0 0 0 0 0
106 3 0 3 1 3
107 3 2 5 0.2 5
108 0 4 4 -1 4
109 0 0 0 0 0
110 0 2 2 -1 1
111 1 0 1 1 1
112 5 4 9 0.111111 8
113 0 4 4 -1 2
114 0 0 0 0 0
115 7 0 7 1 4
116 0 2 2 -1 2
117 0 0 0 0 0
118 0 3 3 -1 2
119 0 1 1 -1 1
120 0 1 1 -1 1
121 0 0 0 0 0
122 1 3 4 -0.5 3
123 0 2 2 -1 2
124 0 2 2 -1 1
125 4 1 5 0.6 4
126 1 3 4 -0.5 3
127 1 3 4 -0.5 3
128 9 0 9 1 5
129 0 0 0 0 0
130 0 0 0 0 0
131 7 0 7 1 4
132 0 0 0 0 0
133 0 0 0 0 0
134 2 0 2 1 1
135 0 0 0 0 0
136 1 0 1 1 1
137 0 5 5 -1 2
138 4 0 4 1 2
139 1 0 1 1 1
140 0 8 8 -1 6
141 0 0 0 0 0
142 0 0 0 0 0
143 12 0 12 1 6
144 0 4 4 -1 3
145 3 0 3 1 2
146 0 0 0 0 0
147 0 0 0 0 0
148 0 1 1 -1 1
149 5 0 5 1 5
150 0 4 4 -1 3
151 0 2 2 -1 1
152 0 0 0 0 0
153 0 0 0 0 0
154 0 3 3 -1 3
155 1 1 2 0 2
156 0 0 0 0 0
157 2 0 2 1 1
158 2 0 2 1 1
159 5 0 5 1 3
160 1 6 7 -0.714286 3
161 4 0 4 1 4
162 0 1 1 -1 1
163 0 0 0 0 0
164 0 2 2 -1 1
165 1 0 1 1 1
166 0 2 2 -1 2
167 0 3 3 -1 2
168 8 0 8 1 5
169 0 5 5 -1 4
170 8 0 8 1 5
171 0 1 1 -1 1
172 0 2 2 -1 1
173 17 0 17 1 9
174 0 2 2 -1 2
175 1 3 4 -0.5 3
176 6 0 6 1 4
177 1 2 3 -0.333333 2
178 0 0 0 0 0
179 0 6 6 -1 1
180 2 0 2 1 1
181 10 0 10 1 4
182 1 0 1 1 1
183 0 2 2 -1 1
184 0 2 2 -1 1
185 0 2 2 -1 1
186 0 5 5 -1 3
187 2 0 2 1 2
188 11 0 11 1 3
189 0 11 11 -1 4
190 2 0 2 1 2
191 0 5 5 -1 3
192 2 0 2 1 1
193 0 0 0 0 0
194 1 1 2 0 2
195 3 0 3 1 2
196 0 2 2 -1 1
197 0 1 1 -1 1
198 2 0 2 1 2
199 0 4 4 -1 2
200 3 0 3 1 2
201 0 3 3 -1 3
202 0 0 0 0 0
203 0 0 0 0 0
204 0 0 0 0 0
205 0 2 2 -1 1
206 0 0 0 0 0
207 0 1 1 -1 1
208 0 0 0 0 0
209 3 0 3 1 2
210 6 0 6 1 5
211 0 5 5 -1 2
212 0 1 1 -1 1
213 0 1 1 -1 1
214 4 0 4 1 2
215 0 10 10 -1 4
216 0 0 0 0 0
217 0 0 0 0 0
218 0 1 1 -1 1
219 0 2 2 -1 2
220 0 0 0 0 0
221 4 0 4 1 3
222 9 0 9 1 6
223 0 9 9 -1 4
224 0 2 2 -1 1
225 0 0 0 0 0
226 2 0 2 1 2
227 0 0 0 0 0
228 0 0 0 0 0
229 0 0 0 0 0
230 2 0 2 1 2
231 8 0 8 1 5
232 0 5 5 -1 2
233 1 0 1 1 1
234 3 2 5 0.2 4
235 0 3 3 -1 2
236 0 0 0 0 0
237 1 2 3 -0.333333 3
238 0 1 1 -1 1
239 2 0 2 1 2
240 4 2 6 0.333333 4
241 0 9 9 -1 4
242 0 2 2 -1 1
243 2 0 2 1 2
244 0 0 0 0 0
245 0 8 8 -1 3
246 0 0 0 0 0
247 0 1 1 -1 1
248 0 2 2 -1 2
249 1 0 1 1 1
250 0 0 0 0 0
251 0 3 3 -1 2
252 0 7 7 -1 4
253 0 0 0 0 0
254 0 6 6 -1 3
255 1 2 3 -0.333333 2
256 0 0 0 0 0
257 1 1 2 0 2
258 3 0 3 1 1
259 1 5 6 -0.666667 4
260 4 0 4 1 4
261 2 3 5 -0.2 4
262 0 3 3 -1 2
263 0 1 1 -1 1
264 1 0 1 1 1
265 0 15 15 -1 7
266 0 0 0 0 0
267 0 0 0 0 0
268 0 1 1 -1 1
269 3 0 3 1 3
270 1 0 1 1 1
271 0 7 7 -1 3
272 0 16 16 -1 5
273 2 1 3 0.333333 3
274 11 0 11 1 4
275 2 0 2 1 2
276 0 0 0 0 0
277 2 0 2 1 1
278 0 9 9 -1 7
279 0 0 0 0 0
280 0 11 11 -1 3
281 0 7 7 -1 4
282 0 5 5 -1 4
283 0 7 7 -1 4
284 4 0 4 1 2
285 17 0 17 1 5
286 6 0 6 1 5
287 0 2 2 -1 2
288 0 0 0 0 0
289 0 0 0 0 0
290 10 0 10 1 2
291 8 0 8 1 5
292 0 0 0 0 0
293 0 0 0 0 0
294 3 0 3 1 1
295 0 4 4 -1 3
296 1 0 1 1 1
297 0 1 1 -1 1
298 0 10 10 -1 2
299 0 0 0 0 0
300 1 0 1 1 1
301 0 0 0 0 0
302 8 0 8 1 3
303 0 6 6 -1 1
304 4 0 4 1 4
305 0 6 6 -1 4
306 2 0 2 1 2
307 1 1 2 0 2
308 0 2 2 -1 2
309 0 3 3 -1 2
310 0 1 1 -1 1
311 0 3 3 -1 2
312 0 11 11 -1 4
313 0 2 2 -1 2
314 5 0 5 1 1
315 10 0 10 1 6
316 0 0 0 0 0
317 0 0 0 0 0
318 0 10 10 -1 6
319 1 0 1 1 1
320 1 1 2 0 2
321 1 7 8 -0.75 7
322 0 4 4 -1 2
323 0 7 7 -1 3
324 0 0 0 0 0
325 0 0 0 0 0
326 0 6 6 -1 3
327 0 0 0 0 0
328 0 0 0 0 0
329 0 0 0 0 0
330 0 5 5 -1 5
331 0 1 1 -1 1
332 0 1 1 -1 1
333 4 0 4 1 1
334 0 0 0 0 0
335 0 0 0 0 0
336 0 4 4 -1 2
337 4 0 4 1 4
338 0 2 2 -1 1
339 0 11 11 -1 7
340 0 0 0 0 0
341 2 0 2 1 1
342 0 0 0 0 0
343 1 0 1 1 1
344 1 0 1 1 1
345 0 0 0 0 0
346 5 0 5 1 4
347 0 6 6 -1 5
348 1 0 1 1 1
349 4 2 6 0.333333 4
350 5 0 5 1 3
351 0 0 0 0 0
352 7 0 7 1 5
353 0 7 7 -1 4
354 0 2 2 -1 1
355 0 0 0 0 0
356 0 0 0 0 0
357 0 0 0 0 0
358 0 0 0 0 0
359 0 1 1 -1 1
360 6 0 6 1 5
361 0 0 0 0 0
362 3 0 3 1 2
363 1 0 1 1 1
364 7 0 7 1 3
365 0 1 1 -1 1
366 1 0 1 1 1
367 0 13 13 -1 7
368 0 6 6 -1 3
369 0 0 0 0 0
370 0 2 2 -1 2
371 0 0 0 0 0
372 8 0 8 1 4
373 3 0 3 1 1
374 0 5 5 -1 3
375 0 4 4 -1 2
376 1 3 4 -0.5 3
377 0 9 9 -1 5
378 0 5 5 -1 3
379 3 0 3 1 3
380 0 3 3 -1 3
381 0 3 3 -1 1
382 0 0 0 0 0
383 0 0 0 0 0
384 6 0 6 1 5
385 0 1 1 -1 1
386 0 3 3 -1 2
387 0 0 0 0 0
388 0 0 0 0 0
389 0 5 5 -1 3
390 1 1 2 0 2
391 0 0 0 0 0
392 5 0 5 1 2
393 0 0 0 0 0
394 0 0 0 0 0
395 1 0 1 1 1
396 0 0 0 0 0
397 0 0 0 0 0
398 1 1 2 0 2
399 0 0 0 0 0
400 5 0 5 1 2
401 5 0 5 1 2
402 0 4 4 -1 2
403 1 2 3 -0.333333 3
404 0 0 0 0 0
405 8 0 8 1 6
406 0 0 0 0 0
407 1 2 3 -0.333333 3
408 0 0 0 0 0
409 0 0 0 0 0
410 0 0 0 0 0
411 2 0 2 1 2
412 2 2 4 0 4
413 0 0 0 0 0
414 0 3 3 -1 2
415 5 0 5 1 5
416 2 0 2 1 2
417 0 0 0 0 0
418 0 1 1 -1 1
419 0 0 0 0 0
420 0 1 1 -1 1
421 3 0 3 1 3
422 6 0 6 1 4
423 0 3 3 -1 3
424 2 0 2 1 2
425 5 0 5 1 3
426 12 0 12 1 9
427 0 2 2 -1 2
428 0 2 2 -1 1
429 0 2 2 -1 2
430 0 2 2 -1 2
431 0 2 2 -1 2
432 0 1 1 -1 1
433 2 0 2 1 2
434 1 0 1 1 1
435 0 4 4 -1 2
436 6 0 6 1 5
437 0 0 0 0 0
438 1 3 4 -0.5 3
439 1 0 1 1 1
440 4 0 4 1 1
441 0 0 0 0 0
442 2 2 4 0 2
443 0 2 2 -1 2
444 0 7 7 -1 2
445 1 2 3 -0.333333 3
446 0 9 9 -1 5
447 1 5 6 -0.666667 4
448 0 1 1 -1 1
449 9 0 9 1 5
450 5 0 5 1 1
451 0 3 3 -1 3
452 2 0 2 1 2
453 3 0 3 1 2
454 0 10 10 -1 5
455 0 2 2 -1 1
456 0 3 3 -1 3
457 7 0 7 1 5
458 1 0 1 1 1
459 0 6 6 -1 3
460 10 0 10 1 5
461 0 6 6 -1 4
462 0 6 6 -1 3
463 4 0 4 1 2
464 0 0 0 0 0
465 0 2 2 -1 2
466 4 0 4 1 2
467 1 0 1 1 1
468 2 0 2 1 2
469 2 0 2 1 1
470 0 3 3 -1 2
471 0 8 8 -1 3
472 2 0 2 1 2
473 2 3 5 -0.2 5
474 5 0 5 1 3
