# event_id  Npe_top  Npe_bottom  Npe_total  asym  N_fired_PMTs
0 4 36 40 -0.8 17
1 20 33 53 -0.245283 25
2 11 12 23 -0.0434783 15
3 62 9 71 0.746479 21
4 24 34 58 -0.172414 22
5 10 29 39 -0.487179 15
6 25 49 74 -0.324324 21
7 6 53 59 -0.79661 18
8 33 25 58 0.137931 25
9 31 20 51 0.215686 20
10 9 38 47 -0.617021 22
11 40 33 73 0.0958904 28
12 19 37 56 -0.321429 19
13 5 60 65 -0.846154 15
14 43 17 60 0.433333 22
15 27 20 47 0.148936 22
16 28 42 70 -0.2 28
17 22 38 60 -0.266667 25
18 25 62 87 -0.425287 22
19 1 69 70 -0.971429 18
20 52 12 64 0.625 18
21 16 48 64 -0.5 24
22 1 53 54 -0.962963 17
23 50 19 69 0.449275 21
24 43 31 74 0.162162 24
25 52 10 62 0.677419 20
26 67 0 67 1 14
27 83 6 89 0.865169 16
28 8 56 64 -0.75 23
29 35 12 47 0.489362 21
30 26 27 53 -0.0188679 24
31 17 61 78 -0.564103 23
32 12 54 66 -0.636364 21
33 50 3 53 0.886792 19
34 7 85 92 -0.847826 23
35 18 27 45 -0.2 17
36 87 4 91 0.912088 19
37 35 21 56 0.25 23
38 40 20 60 0.333333 26
39 10 31 41 -0.512195 19
40 19 27 46 -0.173913 18
41 4 25 29 -0.724138 10
42 36 23 59 0.220339 27
43 38 23 61 0.245902 19
44 44 31 75 0.173333 19
45 5 64 69 -0.855072 17
46 42 2 44 0.909091 18
47 17 37 54 -0.37037 22
48 1 54 55 -0.963636 17
49 34 5 39 0.74359 14
50 3 68 71 -0.915493 20
51 80 2 82 0.95122 21
52 47 12 59 0.59322 18
53 70 10 80 0.75 22
54 10 43 53 -0.622642 22
55 22 15 37 0.189189 20
56 52 18 70 0.485714 26
57 34 14 48 0.416667 19
58 2 63 65 -0.938462 20
59 27 34 61 -0.114754 25
60 8 51 59 -0.728814 22
61 35 29 64 0.09375 23
62 2 44 46 -0.913043 14
63 51 12 63 0.619048 23
64 20 14 34 0.176471 15
65 23 35 58 -0.206897 26
66 42 3 45 0.866667 20
67 2 63 65 -0.938462 20
68 51 20 71 0.43662 25
69 31 39 70 -0.114286 29
70 37 3 40 0.85 15
71 30 25 55 0.0909091 25
72 4 85 89 -0.910112 15
73 65 10 75 0.733333 15
74 7 88 95 -0.852632 20
75 11 63 74 -0.702703 21
76 9 58 67 -0.731343 17
77 5 62 67 -0.850746 22
78 2 48 50 -0.92 17
79 36 12 48 0.5 26
80 8 46 54 -0.703704 20
81 46 6 52 0.769231 22
82 38 17 55 0.381818 26
83 6 58 64 -0.8125 21
84 4 61 65 -0.876923 19
85 36 15 51 0.411765 20
86 22 5 27 0.62963 13
87 68 11 79 0.721519 18
88 34 13 47 0.446809 22
89 14 76 90 -0.688889 22
90 30 36 66 -0.0909091 25
91 2 85 87 -0.954023 13
92 68 8 76 0.789474 23
93 36 11 47 0.531915 21
94 53 9 62 0.709677 24
95 8 43 51 -0.686275 20
96 10 39 49 -0.591837 23
97 9 50 59 -0.694915 21
98 20 50 70 -0.428571 27
99 59 15 74 0.594595 25
100 10 58 68 -0.705882 16
101 31 14 45 0.377778 18
102 28 13 41 0.365854 20
103 22 44 66 -0.333333 21
104 28 24 52 0.0769231 24
105 6 61 67 -0.820896 21
106 34 30 64 0.0625 20
107 6 75 81 -0.851852 22
108 15 50 65 -0.538462 22
109 49 14 63 0.555556 22
110 45 9 54 0.666667 19
111 16 36 52 -0.384615 22
112 31 18 49 0.265306 19
113 26 32 58 -0.103448 26
114 7 82 89 -0.842697 20
115 16 35 51 -0.372549 25
116 0 59 59 -1 16
117 18 51 69 -0.478261 22
118 10 47 57 -0.649123 20
119 25 20 45 0.111111 18
120 29 27 56 0.0357143 22
121 55 14 69 0.594203 20
122 23 16 39 0.179487 19
123 2 57 59 -0.932203 17
124 29 24 53 0.0943396 22
125 26 19 45 0.155556 17
126 0 46 46 -1 9
127 27 27 54 0 23
128 43 30 73 0.178082 28
129 19 13 32 0.1875 17
130 1 86 87 -0.977011 12
131 47 6 53 0.773585 19
132 3 82 85 -0.929412 16
133 41 19 60 0.366667 26
134 10 50 60 -0.666667 23
135 0 36 36 -1 15
136 3 47 50 -0.88 18
137 14 33 47 -0.404255 23
138 9 45 54 -0.666667 16
139 87 3 90 0.933333 20
140 60 3 63 0.904762 18
141 13 43 56 -0.535714 24
142 8 41 49 -0.673469 24
143 51 2 53 0.924528 19
144 40 18 58 0.37931 29
145 25 34 59 -0.152542 28
146 43 16 59 0.457627 26
147 8 61 69 -0.768116 24
148 36 20 56 0.285714 26
149 23 38 61 -0.245902 25
150 12 44 56 -0.571429 23
151 27 23 50 0.08 18
152 3 42 45 -0.866667 19
153 55 8 63 0.746032 21
154 53 13 66 0.606061 22
155 25 47 72 -0.305556 22
156 56 22 78 0.435897 29
157 57 6 63 0.809524 18
158 11 61 72 -0.694444 28
159 53 20 73 0.452055 27
160 88 6 94 0.87234 16
161 3 64 67 -0.910448 16
162 54 5 59 0.830508 20
163 69 3 72 0.916667 20
164 42 8 50 0.68 17
165 58 7 65 0.784615 18
166 41 20 61 0.344262 22
167 22 46 68 -0.352941 24
168 14 48 62 -0.548387 26
169 14 25 39 -0.282051 22
170 2 55 57 -0.929825 19
171 34 22 56 0.214286 23
172 23 38 61 -0.245902 27
173 31 40 71 -0.126761 27
174 59 5 64 0.84375 21
175 36 10 46 0.565217 21
176 35 23 58 0.206897 25
177 5 36 41 -0.756098 15
178 39 20 59 0.322034 22
179 7 49 56 -0.75 19
180 10 54 64 -0.6875 26
181 31 12 43 0.44186 24
182 49 8 57 0.719298 23
183 7 40 47 -0.702128 24
184 20 57 77 -0.480519 25
185 25 36 61 -0.180328 25
186 30 18 48 0.25 22
187 49 4 53 0.849057 13
